Sample	Contig	Covered Fraction
aligned	ivig_1	0
aligned	ivig_2	0
aligned	ivig_3	0
aligned	ivig_6	0
aligned	ivig_7	0
aligned	ivig_8	0
aligned	ivig_9	0
aligned	ivig_10	0
aligned	ivig_12	0.2586074
aligned	ivig_13	0.18110698
aligned	ivig_14	0.07816112
aligned	ivig_16	0
aligned	ivig_17	0
aligned	ivig_18	0
aligned	ivig_19	0.21402009
aligned	ivig_20	0
aligned	ivig_22	0.015052534
aligned	ivig_23	0.060750514
aligned	ivig_27	0.2801362
aligned	ivig_34	0
aligned	ivig_37	0.02062443
aligned	ivig_38	0.09379287
aligned	ivig_40	0.103658535
aligned	ivig_41	0.022061357
aligned	ivig_43	0
aligned	ivig_44	0
aligned	ivig_45	0
aligned	ivig_46	0
aligned	ivig_47	0
aligned	ivig_49	0
aligned	ivig_50	0
aligned	ivig_54	0
aligned	ivig_58	0
aligned	ivig_59	0
aligned	ivig_62	0
aligned	ivig_65	0
aligned	ivig_66	0
aligned	ivig_67	0
aligned	ivig_68	0
aligned	ivig_69	0
aligned	ivig_71	0
aligned	ivig_72	0.044903345
aligned	ivig_73	0.060093414
aligned	ivig_74	0.11432927
aligned	ivig_76	0.0297492
aligned	ivig_78	0.1337326
aligned	ivig_79	0
aligned	ivig_81	0
aligned	ivig_82	0
aligned	ivig_83	0
aligned	ivig_85	0.019174468
aligned	ivig_87	0
aligned	ivig_88	0
aligned	ivig_94	0
aligned	ivig_95	0
aligned	ivig_96	0
aligned	ivig_97	0
aligned	ivig_98	0
aligned	ivig_100	0
aligned	ivig_101	0
aligned	ivig_102	0.103674866
aligned	ivig_104	0.087288134
aligned	ivig_105	0.14836091
aligned	ivig_108	0
aligned	ivig_109	0.024467396
aligned	ivig_110	0.10170753
aligned	ivig_113	0.028071946
aligned	ivig_114	0.041026007
aligned	ivig_115	0.0854717
aligned	ivig_116	0.10381349
aligned	ivig_118	0.20907198
aligned	ivig_119	0
aligned	ivig_120	0
aligned	ivig_121	0.1372319
aligned	ivig_122	0
aligned	ivig_123	0
aligned	ivig_124	0
aligned	ivig_125	0
aligned	ivig_126	0
aligned	ivig_127	0
aligned	ivig_128	0.041480426
aligned	ivig_129	0
aligned	ivig_130	0
aligned	ivig_131	0
aligned	ivig_132	0.029004168
aligned	ivig_133	0.1595136
aligned	ivig_138	0
aligned	ivig_139	0
aligned	ivig_141	0
aligned	ivig_142	0
aligned	ivig_146	0.052969992
aligned	ivig_147	0
aligned	ivig_148	0
aligned	ivig_149	0
aligned	ivig_151	0
aligned	ivig_154	0
aligned	ivig_155	0
aligned	ivig_157	0
aligned	ivig_159	0
aligned	ivig_161	0
aligned	ivig_164	0
aligned	ivig_168	0
aligned	ivig_169	0.044774055
aligned	ivig_170	0
aligned	ivig_171	0
aligned	ivig_173	0
aligned	ivig_174	0
aligned	ivig_176	0
aligned	ivig_177	0
aligned	ivig_178	0
aligned	ivig_179	0
aligned	ivig_180	0
aligned	ivig_184	0
aligned	ivig_188	0
aligned	ivig_189	0
aligned	ivig_190	0
aligned	ivig_191	0
aligned	ivig_194	0
aligned	ivig_198	0
aligned	ivig_201	0
aligned	ivig_203	0.5240536
aligned	ivig_204	0.14376304
aligned	ivig_206	0.48845938
aligned	ivig_207	0
aligned	ivig_209	0
aligned	ivig_211	0
aligned	ivig_214	0.051260777
aligned	ivig_217	0
aligned	ivig_218	0
aligned	ivig_219	0.025810301
aligned	ivig_220	0
aligned	ivig_221	0
aligned	ivig_225	0
aligned	ivig_228	0
aligned	ivig_229	0.10786778
aligned	ivig_230	0.04028472
aligned	ivig_231	0
aligned	ivig_232	0
aligned	ivig_233	0
aligned	ivig_235	0
aligned	ivig_236	0
aligned	ivig_237	0
aligned	ivig_241	0
aligned	ivig_243	0
aligned	ivig_244	0
aligned	ivig_247	0
aligned	ivig_254	0
aligned	ivig_257	0
aligned	ivig_258	0
aligned	ivig_259	0
aligned	ivig_260	0
aligned	ivig_264	0
aligned	ivig_265	0
aligned	ivig_268	0
aligned	ivig_269	0
aligned	ivig_270	0
aligned	ivig_272	0
aligned	ivig_273	0
aligned	ivig_276	0.022587854
aligned	ivig_277	0
aligned	ivig_278	0
aligned	ivig_279	0.9916644
aligned	ivig_282	0.06905748
aligned	ivig_285	0
aligned	ivig_286	0
aligned	ivig_287	0
aligned	ivig_289	0
aligned	ivig_290	0
aligned	ivig_291	0
aligned	ivig_292	0
aligned	ivig_293	0
aligned	ivig_294	0
aligned	ivig_295	0
aligned	ivig_297	0
aligned	ivig_299	0
aligned	ivig_300	0.13447188
aligned	ivig_301	0
aligned	ivig_304	0
aligned	ivig_306	0.088032395
aligned	ivig_307	0.023205183
aligned	ivig_309	0
aligned	ivig_314	0
aligned	ivig_315	0
aligned	ivig_317	0
aligned	ivig_318	0
aligned	ivig_319	0
aligned	ivig_320	0
aligned	ivig_322	0
aligned	ivig_325	0
aligned	ivig_326	0.13706818
aligned	ivig_329	0
aligned	ivig_330	0.13226119
aligned	ivig_332	0.053982675
aligned	ivig_334	0.05023092
aligned	ivig_336	0.042166628
aligned	ivig_337	0
aligned	ivig_338	0
