abundance,count,cumulative,cumulative_fraction
0,0,0,0.0
1,213122921,213122921,0.805
2,19036553,232159474,0.877
3,8564601,240724075,0.909
4,5053959,245778034,0.928
5,3244003,249022037,0.941
6,2250470,251272507,0.949
7,1639892,252912399,0.955
8,1247831,254160230,0.96
9,969630,255129860,0.964
10,781585,255911445,0.967
11,640393,256551838,0.969
12,537471,257089309,0.971
13,456595,257545904,0.973
14,393789,257939693,0.974
15,346201,258285894,0.976
16,304725,258590619,0.977
17,274647,258865266,0.978
18,252717,259117983,0.979
19,232723,259350706,0.98
20,208444,259559150,0.98
21,187375,259746525,0.981
22,168207,259914732,0.982
23,151969,260066701,0.982
24,137674,260204375,0.983
25,126860,260331235,0.983
26,117150,260448385,0.984
27,108054,260556439,0.984
28,100312,260656751,0.985
29,92749,260749500,0.985
30,88392,260837892,0.985
31,82404,260920296,0.986
32,76609,260996905,0.986
33,72384,261069289,0.986
34,67901,261137190,0.986
35,63882,261201072,0.987
36,60676,261261748,0.987
37,58361,261320109,0.987
38,54726,261374835,0.987
39,52837,261427672,0.988
40,50165,261477837,0.988
41,48135,261525972,0.988
42,46282,261572254,0.988
43,43361,261615615,0.988
44,42155,261657770,0.988
45,40539,261698309,0.989
46,39083,261737392,0.989
47,36896,261774288,0.989
48,35826,261810114,0.989
49,34704,261844818,0.989
50,33473,261878291,0.989
51,32524,261910815,0.989
52,31878,261942693,0.989
53,31369,261974062,0.99
54,29965,262004027,0.99
55,29533,262033560,0.99
56,28676,262062236,0.99
57,28241,262090477,0.99
58,27119,262117596,0.99
59,26095,262143691,0.99
60,25789,262169480,0.99
61,25175,262194655,0.99
62,25001,262219656,0.991
63,24027,262243683,0.991
64,23589,262267272,0.991
65,23142,262290414,0.991
66,22819,262313233,0.991
67,21675,262334908,0.991
68,21043,262355951,0.991
69,20643,262376594,0.991
70,20109,262396703,0.991
71,19728,262416431,0.991
72,19237,262435668,0.991
73,18669,262454337,0.991
74,18576,262472913,0.991
75,18196,262491109,0.992
76,17652,262508761,0.992
77,17457,262526218,0.992
78,17336,262543554,0.992
79,16736,262560290,0.992
80,16908,262577198,0.992
81,16182,262593380,0.992
82,15971,262609351,0.992
83,15324,262624675,0.992
84,15414,262640089,0.992
85,15173,262655262,0.992
86,14917,262670179,0.992
87,14841,262685020,0.992
88,14645,262699665,0.992
89,14380,262714045,0.992
90,14530,262728575,0.992
91,14074,262742649,0.993
92,13935,262756584,0.993
93,13731,262770315,0.993
94,13269,262783584,0.993
95,13236,262796820,0.993
96,13180,262810000,0.993
97,12727,262822727,0.993
98,12556,262835283,0.993
99,12369,262847652,0.993
100,12348,262860000,0.993
101,11878,262871878,0.993
102,11848,262883726,0.993
103,11661,262895387,0.993
104,11376,262906763,0.993
105,11302,262918065,0.993
106,10923,262928988,0.993
107,10769,262939757,0.993
108,10596,262950353,0.993
109,10272,262960625,0.993
110,10161,262970786,0.993
111,10065,262980851,0.993
112,10120,262990971,0.993
113,10080,263001051,0.993
114,10109,263011160,0.994
115,9812,263020972,0.994
116,9832,263030804,0.994
117,9552,263040356,0.994
118,9514,263049870,0.994
119,9136,263059006,0.994
120,8987,263067993,0.994
121,8853,263076846,0.994
122,8768,263085614,0.994
123,8589,263094203,0.994
124,8601,263102804,0.994
125,8277,263111081,0.994
126,8202,263119283,0.994
127,8188,263127471,0.994
128,8238,263135709,0.994
129,8026,263143735,0.994
130,7763,263151498,0.994
131,7460,263158958,0.994
132,7604,263166562,0.994
133,7474,263174036,0.994
134,7351,263181387,0.994
135,7151,263188538,0.994
136,7145,263195683,0.994
137,6985,263202668,0.994
138,6921,263209589,0.994
139,6932,263216521,0.994
140,6741,263223262,0.994
141,6829,263230091,0.994
142,6575,263236666,0.994
143,6281,263242947,0.994
144,6321,263249268,0.994
145,6376,263255644,0.994
146,6274,263261918,0.994
147,6227,263268145,0.995
148,6008,263274153,0.995
149,6050,263280203,0.995
150,6016,263286219,0.995
151,5966,263292185,0.995
152,5717,263297902,0.995
153,5739,263303641,0.995
154,5646,263309287,0.995
155,5568,263314855,0.995
156,5534,263320389,0.995
157,5323,263325712,0.995
158,5401,263331113,0.995
159,5361,263336474,0.995
160,5169,263341643,0.995
161,5117,263346760,0.995
162,5128,263351888,0.995
163,4999,263356887,0.995
164,5020,263361907,0.995
165,4826,263366733,0.995
166,4791,263371524,0.995
167,4838,263376362,0.995
168,4734,263381096,0.995
169,4556,263385652,0.995
170,4433,263390085,0.995
171,4528,263394613,0.995
172,4411,263399024,0.995
173,4387,263403411,0.995
174,4403,263407814,0.995
175,4151,263411965,0.995
176,4051,263416016,0.995
177,4016,263420032,0.995
178,4014,263424046,0.995
179,4001,263428047,0.995
180,3982,263432029,0.995
181,3874,263435903,0.995
182,3855,263439758,0.995
183,3896,263443654,0.995
184,3916,263447570,0.995
185,3906,263451476,0.995
186,3905,263455381,0.995
187,3799,263459180,0.995
188,3692,263462872,0.995
189,3685,263466557,0.995
190,3564,263470121,0.995
191,3520,263473641,0.995
192,3540,263477181,0.995
193,3409,263480590,0.995
194,3367,263483957,0.995
195,3483,263487440,0.995
196,3276,263490716,0.995
197,3239,263493955,0.995
198,3284,263497239,0.995
199,3177,263500416,0.995
200,3176,263503592,0.995
201,3169,263506761,0.995
202,3157,263509918,0.995
203,3134,263513052,0.995
204,3037,263516089,0.995
205,2922,263519011,0.995
206,3004,263522015,0.995
207,2887,263524902,0.995
208,2860,263527762,0.995
209,2790,263530552,0.995
210,2632,263533184,0.996
211,2646,263535830,0.996
212,2754,263538584,0.996
213,2744,263541328,0.996
214,2639,263543967,0.996
215,2649,263546616,0.996
216,2687,263549303,0.996
217,2722,263552025,0.996
218,2641,263554666,0.996
219,2637,263557303,0.996
220,2638,263559941,0.996
221,2654,263562595,0.996
222,2686,263565281,0.996
223,2562,263567843,0.996
224,2517,263570360,0.996
225,2597,263572957,0.996
226,2560,263575517,0.996
227,2568,263578085,0.996
228,2471,263580556,0.996
229,2506,263583062,0.996
230,2422,263585484,0.996
231,2380,263587864,0.996
232,2454,263590318,0.996
233,2470,263592788,0.996
234,2328,263595116,0.996
235,2241,263597357,0.996
236,2360,263599717,0.996
237,2324,263602041,0.996
238,2293,263604334,0.996
239,2275,263606609,0.996
240,2257,263608866,0.996
241,2253,263611119,0.996
242,2278,263613397,0.996
243,2220,263615617,0.996
244,2254,263617871,0.996
245,2247,263620118,0.996
246,2229,263622347,0.996
247,2117,263624464,0.996
248,2114,263626578,0.996
249,2160,263628738,0.996
250,2142,263630880,0.996
251,2092,263632972,0.996
252,2089,263635061,0.996
253,2073,263637134,0.996
254,2082,263639216,0.996
255,1984,263641200,0.996
256,2085,263643285,0.996
257,2043,263645328,0.996
258,2076,263647404,0.996
259,2071,263649475,0.996
260,2057,263651532,0.996
261,2098,263653630,0.996
262,1982,263655612,0.996
263,2053,263657665,0.996
264,2057,263659722,0.996
265,2077,263661799,0.996
266,2089,263663888,0.996
267,2013,263665901,0.996
268,2063,263667964,0.996
269,1973,263669937,0.996
270,2045,263671982,0.996
271,2050,263674032,0.996
272,2087,263676119,0.996
273,2086,263678205,0.996
274,2151,263680356,0.996
275,2088,263682444,0.996
276,2133,263684577,0.996
277,2059,263686636,0.996
278,2141,263688777,0.996
279,2178,263690955,0.996
280,2117,263693072,0.996
281,2275,263695347,0.996
282,2145,263697492,0.996
283,2106,263699598,0.996
284,2057,263701655,0.996
285,2002,263703657,0.996
286,2069,263705726,0.996
287,2042,263707768,0.996
288,2051,263709819,0.996
289,2026,263711845,0.996
290,2022,263713867,0.996
291,2081,263715948,0.996
292,2051,263717999,0.996
293,2006,263720005,0.996
