sample	coverage	full_coverage	relative_abundance	level	taxonomy
F3_S19_raw_R1	0	1319.48	100.0	root	Root
F3_S19_raw_R1	3.86	3.86	0.29	domain	Root; d__Archaea
F3_S19_raw_R1	17.46	1315.62	99.71	domain	Root; d__Bacteria
F3_S19_raw_R1	0.06	14.53	1.1	phylum	Root; d__Bacteria; p__Verrucomicrobiota
F3_S19_raw_R1	0.28	2.21	0.17	phylum	Root; d__Bacteria; p__Pseudomonadota
F3_S19_raw_R1	0.51	0.51	0.04	phylum	Root; d__Bacteria; p__Actinomycetota
F3_S19_raw_R1	0	404.41	30.65	phylum	Root; d__Bacteria; p__Bacteroidota
F3_S19_raw_R1	0	854.62	64.77	phylum	Root; d__Bacteria; p__Bacillota_A
F3_S19_raw_R1	0	1.64	0.12	phylum	Root; d__Bacteria; p__Bacillota_I
F3_S19_raw_R1	0	20.24	1.53	phylum	Root; d__Bacteria; p__Bacillota_C
F3_S19_raw_R1	0.06	14.47	1.1	class	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
F3_S19_raw_R1	0.11	1.3	0.1	class	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
F3_S19_raw_R1	0.23	0.63	0.05	class	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria
F3_S19_raw_R1	0.06	404.41	30.65	class	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
F3_S19_raw_R1	8.44	854.62	64.77	class	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
F3_S19_raw_R1	0.06	1.64	0.12	class	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
F3_S19_raw_R1	0	20.24	1.53	class	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
F3_S19_raw_R1	0	14.41	1.09	order	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales
F3_S19_raw_R1	0.45	1.19	0.09	order	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
F3_S19_raw_R1	0.4	0.4	0.03	order	Root; d__Bacteria; p__Pseudomonadota; c__Alphaproteobacteria; o__Rhizobiales
F3_S19_raw_R1	4.0	404.35	30.64	order	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
F3_S19_raw_R1	35.01	749.9	56.83	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
F3_S19_raw_R1	1.36	48.23	3.66	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
F3_S19_raw_R1	1.13	2.39	0.18	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
F3_S19_raw_R1	0.34	8.94	0.68	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
F3_S19_raw_R1	0	24.05	1.82	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales
F3_S19_raw_R1	0	2.94	0.22	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Monoglobales
F3_S19_raw_R1	0	1.42	0.11	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__UBA1381
F3_S19_raw_R1	0	8.31	0.63	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales
F3_S19_raw_R1	0.06	1.58	0.12	order	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales
