sample	coverage	full_coverage	relative_abundance	level	taxonomy
GP4_S29_raw_R1	0	23.9	100.0	root	Root
GP4_S29_raw_R1	2.37	23.9	100.0	domain	Root; d__Bacteria
GP4_S29_raw_R1	0	14.69	61.46	phylum	Root; d__Bacteria; p__Bacillota_A
GP4_S29_raw_R1	0	0.34	1.42	phylum	Root; d__Bacteria; p__Bacillota_C
GP4_S29_raw_R1	0	6.5	27.2	phylum	Root; d__Bacteria; p__Bacteroidota
GP4_S29_raw_R1	1.97	14.69	61.46	class	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
GP4_S29_raw_R1	0	0.34	1.42	class	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
GP4_S29_raw_R1	0	6.5	27.2	class	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
GP4_S29_raw_R1	0.62	2.6	10.88	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
GP4_S29_raw_R1	0.74	7.63	31.92	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
GP4_S29_raw_R1	0	0.68	2.85	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Monoglobales
GP4_S29_raw_R1	0	1.81	7.57	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales
GP4_S29_raw_R1	0.34	0.34	1.42	order	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales
GP4_S29_raw_R1	0.11	6.5	27.2	order	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
GP4_S29_raw_R1	0.4	1.98	8.28	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Anaerotignaceae
GP4_S29_raw_R1	1.19	4.63	19.37	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
GP4_S29_raw_R1	0.94	1.58	6.61	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
GP4_S29_raw_R1	0.68	0.68	2.85	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
GP4_S29_raw_R1	0.17	0.68	2.85	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Monoglobales; f__Monoglobaceae
GP4_S29_raw_R1	0	1.81	7.57	family	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales; f__Eubacteriaceae
GP4_S29_raw_R1	0.45	6.39	26.74	family	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
GP4_S29_raw_R1	0.01	1.58	6.61	genus	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Anaerotignaceae; g__Metalachnospira
GP4_S29_raw_R1	0.28	3.44	14.39	genus	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium
GP4_S29_raw_R1	0.64	0.64	2.68	genus	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Anaeromassilibacillus
GP4_S29_raw_R1	0.01	0.51	2.13	genus	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Monoglobales; f__Monoglobaceae; g__Monoglobus
GP4_S29_raw_R1	0	1.81	7.57	genus	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales; f__Eubacteriaceae; g__Eubacterium
GP4_S29_raw_R1	1.08	3.34	13.97	genus	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides
GP4_S29_raw_R1	0.43	2.6	10.88	genus	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola
GP4_S29_raw_R1	1.57	1.57	6.57	species	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Anaerotignaceae; g__Metalachnospira; s__Metalachnospira sp902406135
GP4_S29_raw_R1	2.69	2.69	11.26	species	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium longum
GP4_S29_raw_R1	0.47	0.47	1.97	species	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium; s__Faecalibacterium sp934514285
GP4_S29_raw_R1	0.5	0.5	2.09	species	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Monoglobales; f__Monoglobaceae; g__Monoglobus; s__Monoglobus pectinilyticus
GP4_S29_raw_R1	1.81	1.81	7.57	species	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales; f__Eubacteriaceae; g__Eubacterium; s__Eubacterium callanderi
GP4_S29_raw_R1	1.06	1.06	4.44	species	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides stercoris
GP4_S29_raw_R1	0.76	0.76	3.18	species	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides thetaiotaomicron
GP4_S29_raw_R1	0.44	0.44	1.84	species	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Bacteroides; s__Bacteroides ovatus
GP4_S29_raw_R1	1.16	1.16	4.85	species	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola; s__Phocaeicola massiliensis
GP4_S29_raw_R1	0.55	0.55	2.3	species	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola; s__Phocaeicola sp900760795
GP4_S29_raw_R1	0.46	0.46	1.92	species	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola; s__Phocaeicola vulgatus
