sample	coverage	taxonomy
M1_S25_raw_R1	6.67	Root; d__Archaea
M1_S25_raw_R1	25.44	Root; d__Bacteria
M1_S25_raw_R1	0.06	Root; d__Bacteria; p__Pseudomonadota
M1_S25_raw_R1	43.56	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
M1_S25_raw_R1	0.19	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
M1_S25_raw_R1	0.64	Root; d__Bacteria; p__Bacillota; c__Bacilli
M1_S25_raw_R1	0.06	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
M1_S25_raw_R1	0.51	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
M1_S25_raw_R1	0.06	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
M1_S25_raw_R1	1.87	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
M1_S25_raw_R1	0.4	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
M1_S25_raw_R1	1.76	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
M1_S25_raw_R1	0.27	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
M1_S25_raw_R1	0.11	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales
M1_S25_raw_R1	0.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__UBA1381
M1_S25_raw_R1	0.17	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
M1_S25_raw_R1	0.85	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
M1_S25_raw_R1	1.87	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales
M1_S25_raw_R1	0.23	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales
M1_S25_raw_R1	2.09	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
M1_S25_raw_R1	0.06	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales
M1_S25_raw_R1	0.68	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
M1_S25_raw_R1	0.67	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales
M1_S25_raw_R1	0.56	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales
M1_S25_raw_R1	0.27	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
M1_S25_raw_R1	0.46	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
M1_S25_raw_R1	4.61	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae
M1_S25_raw_R1	4.36	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae
M1_S25_raw_R1	1.84	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae
M1_S25_raw_R1	4.12	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae
M1_S25_raw_R1	1.85	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae
M1_S25_raw_R1	0.18	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae
M1_S25_raw_R1	0.11	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales; f__Clostridiaceae
M1_S25_raw_R1	0.22	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__UBA1381; f__UBA1381
M1_S25_raw_R1	1.7	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales; f__Peptoniphilaceae
M1_S25_raw_R1	0.51	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Monoglobales; f__Monoglobaceae
M1_S25_raw_R1	0.57	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__QAND01
M1_S25_raw_R1	0.4	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__Christensenellaceae
M1_S25_raw_R1	0.57	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__Aristaeellaceae
M1_S25_raw_R1	4.1	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae
M1_S25_raw_R1	0.45	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Coprobacillaceae
M1_S25_raw_R1	0.17	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae
M1_S25_raw_R1	1.53	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Streptococcaceae
M1_S25_raw_R1	0.85	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Lactobacillaceae
M1_S25_raw_R1	0.11	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Aerococcaceae
M1_S25_raw_R1	0.06	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae
M1_S25_raw_R1	0.4	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae
M1_S25_raw_R1	0.29	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales; f__Veillonellaceae
M1_S25_raw_R1	1.3	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales; f__Bifidobacteriaceae
M1_S25_raw_R1	3.44	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales; f__Eggerthellaceae
M1_S25_raw_R1	0.18	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Enterobacteriaceae
M1_S25_raw_R1	0.51	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales; f__Pasteurellaceae
M1_S25_raw_R1	1.08	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Roseburia
M1_S25_raw_R1	52.74	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Fimousia
M1_S25_raw_R1	0.18	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Hungatella
M1_S25_raw_R1	1.12	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Enterocloster
M1_S25_raw_R1	0.72	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Lachnospira
M1_S25_raw_R1	0.16	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Ruminococcus_B
M1_S25_raw_R1	0.57	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Anaerostipes
M1_S25_raw_R1	0.36	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Acetatifactor
M1_S25_raw_R1	0.75	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Choladousia
M1_S25_raw_R1	0.62	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_G
M1_S25_raw_R1	0.06	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Muricoprocola
M1_S25_raw_R1	0.13	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Limivivens
M1_S25_raw_R1	0.49	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Eubacterium_I
M1_S25_raw_R1	0.12	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Lachnospiraceae; g__Egerieimonas
M1_S25_raw_R1	0.1	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales; f__Anaerotignaceae; g__Metalachnospira
M1_S25_raw_R1	0.28	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Faecalibacterium
M1_S25_raw_R1	0.05	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Ruminococcaceae; g__Negativibacillus
M1_S25_raw_R1	3.15	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Acutalibacter
M1_S25_raw_R1	3.03	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Anaeromassilibacillus
M1_S25_raw_R1	0.18	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__UMGS1071
M1_S25_raw_R1	0.21	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__CAJFUH01
M1_S25_raw_R1	0.46	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Acutalibacteraceae; g__Timburyella
M1_S25_raw_R1	5.16	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Faecousia
M1_S25_raw_R1	0.13	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Lawsonibacter
M1_S25_raw_R1	0.16	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Oscillospiraceae; g__Dysosmobacter
M1_S25_raw_R1	0.58	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales; f__Butyricicoccaceae; g__Agathobaculum
M1_S25_raw_R1	1.17	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae; g__Lentihominibacter
M1_S25_raw_R1	1.81	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae; g__Emergencia
M1_S25_raw_R1	1.36	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae; g__Fimisoma
M1_S25_raw_R1	0.02	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae; g__Gallibacter
M1_S25_raw_R1	1.68	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Anaerovoracaceae; g__Hominibacterium
M1_S25_raw_R1	0.18	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales; f__Peptostreptococcaceae; g__Romboutsia
M1_S25_raw_R1	0.62	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales; f__Peptoniphilaceae; g__Anaerococcus
M1_S25_raw_R1	0.27	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales; f__Peptoniphilaceae; g__Finegoldia
M1_S25_raw_R1	0.4	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales; f__Peptoniphilaceae; g__Aedoeadaptatus
M1_S25_raw_R1	0.51	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales; f__Peptoniphilaceae; g__Peptoniphilus_A
M1_S25_raw_R1	0.1	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__Christensenellaceae; g__Christensenella
M1_S25_raw_R1	1.02	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__Aristaeellaceae; g__Fimadaptatus
M1_S25_raw_R1	0.4	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales; f__Aristaeellaceae; g__Onthenecus
M1_S25_raw_R1	0.01	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Dielma
M1_S25_raw_R1	0.34	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Holdemania
M1_S25_raw_R1	0.62	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales; f__Erysipelotrichaceae; g__Bulleidia
M1_S25_raw_R1	0.91	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales; f__Akkermansiaceae; g__Akkermansia
M1_S25_raw_R1	106.12	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Streptococcaceae; g__Streptococcus
M1_S25_raw_R1	0.71	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales; f__Aerococcaceae; g__Granulicatella
M1_S25_raw_R1	0.49	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales; f__Gemellaceae; g__Gemella
M1_S25_raw_R1	0.03	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales; f__Desulfovibrionaceae; g__Bilophila
M1_S25_raw_R1	0.29	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales; f__Bacteroidaceae; g__Phocaeicola
