sample	coverage	full_coverage	relative_abundance	level	taxonomy
M3_S27_raw_R1	0	5625.43	100.0	root	Root
M3_S27_raw_R1	5.82	5.82	0.1	domain	Root; d__Archaea
M3_S27_raw_R1	21.54	5619.61	99.9	domain	Root; d__Bacteria
M3_S27_raw_R1	0.17	59.5	1.06	phylum	Root; d__Bacteria; p__Pseudomonadota
M3_S27_raw_R1	1.36	227.46	4.04	phylum	Root; d__Bacteria; p__Actinomycetota
M3_S27_raw_R1	0	4086.72	72.65	phylum	Root; d__Bacteria; p__Bacillota_A
M3_S27_raw_R1	0	574.24	10.21	phylum	Root; d__Bacteria; p__Bacillota_I
M3_S27_raw_R1	0	131.37	2.34	phylum	Root; d__Bacteria; p__Bacillota
M3_S27_raw_R1	0	46.29	0.82	phylum	Root; d__Bacteria; p__Bacteroidota
M3_S27_raw_R1	0	81.52	1.45	phylum	Root; d__Bacteria; p__Bacillota_C
M3_S27_raw_R1	0	389.67	6.93	phylum	Root; d__Bacteria; p__Verrucomicrobiota
M3_S27_raw_R1	0	1.3	0.02	phylum	Root; d__Bacteria; p__Desulfobacterota
M3_S27_raw_R1	1.02	59.33	1.05	class	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria
M3_S27_raw_R1	0.45	111.15	1.98	class	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes
M3_S27_raw_R1	0	114.95	2.04	class	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia
M3_S27_raw_R1	33.09	4086.72	72.65	class	Root; d__Bacteria; p__Bacillota_A; c__Clostridia
M3_S27_raw_R1	0.17	574.24	10.21	class	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A
M3_S27_raw_R1	0.57	131.37	2.34	class	Root; d__Bacteria; p__Bacillota; c__Bacilli
M3_S27_raw_R1	0.12	46.29	0.82	class	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia
M3_S27_raw_R1	0	81.52	1.45	class	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes
M3_S27_raw_R1	0	389.67	6.93	class	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae
M3_S27_raw_R1	0	1.3	0.02	class	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia
M3_S27_raw_R1	1.02	57.86	1.03	order	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Enterobacterales
M3_S27_raw_R1	0	0.45	0.01	order	Root; d__Bacteria; p__Pseudomonadota; c__Gammaproteobacteria; o__Burkholderiales
M3_S27_raw_R1	0	110.7	1.97	order	Root; d__Bacteria; p__Actinomycetota; c__Actinomycetes; o__Actinomycetales
M3_S27_raw_R1	0.28	114.95	2.04	order	Root; d__Bacteria; p__Actinomycetota; c__Coriobacteriia; o__Coriobacteriales
M3_S27_raw_R1	0.53	3415.1	60.71	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Lachnospirales
M3_S27_raw_R1	0.23	34.18	0.61	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Peptostreptococcales
M3_S27_raw_R1	0.35	16.75	0.3	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Eubacteriales
M3_S27_raw_R1	0.79	5.77	0.1	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Christensenellales
M3_S27_raw_R1	0.06	3.0	0.05	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Tissierellales
M3_S27_raw_R1	0	532.42	9.46	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Oscillospirales
M3_S27_raw_R1	0	28.75	0.51	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Clostridiales
M3_S27_raw_R1	0	9.4	0.17	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__Monoglobales
M3_S27_raw_R1	0	8.26	0.15	order	Root; d__Bacteria; p__Bacillota_A; c__Clostridia; o__UBA1381
M3_S27_raw_R1	0.99	574.07	10.2	order	Root; d__Bacteria; p__Bacillota_I; c__Bacilli_A; o__Erysipelotrichales
M3_S27_raw_R1	1.25	125.37	2.23	order	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Lactobacillales
M3_S27_raw_R1	0.17	1.75	0.03	order	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__Staphylococcales
M3_S27_raw_R1	0	3.68	0.07	order	Root; d__Bacteria; p__Bacillota; c__Bacilli; o__MOL361
M3_S27_raw_R1	1.19	46.17	0.82	order	Root; d__Bacteria; p__Bacteroidota; c__Bacteroidia; o__Bacteroidales
M3_S27_raw_R1	0.76	81.52	1.45	order	Root; d__Bacteria; p__Bacillota_C; c__Negativicutes; o__Veillonellales
M3_S27_raw_R1	0	389.67	6.93	order	Root; d__Bacteria; p__Verrucomicrobiota; c__Verrucomicrobiae; o__Verrucomicrobiales
M3_S27_raw_R1	0	1.3	0.02	order	Root; d__Bacteria; p__Desulfobacterota; c__Desulfovibrionia; o__Desulfovibrionales
