Assembly	F3_S19_renamed_contigs	F4_S20_renamed_contigs	F5_S21_renamed_contigs	F6_S22_renamed_contigs	F7_S23_renamed_contigs	F8_S24_renamed_contigs	GP3_S28_renamed_contigs	GP4_S29_renamed_contigs	GP5_S30_renamed_contigs	M1_S25_renamed_contigs	M2_S26_renamed_contigs	M3_S27_renamed_contigs
# contigs (>= 0 bp)	14756	14545	14751	15187	15780	15516	5356	4499	5412	46073	42519	44501
# contigs (>= 1000 bp)	14756	14545	14751	15187	15780	15516	5356	4499	5412	46073	42519	44501
# contigs (>= 5000 bp)	3002	2948	2912	2642	2775	2788	548	446	578	7558	7139	7711
# contigs (>= 10000 bp)	1784	1725	1710	1577	1566	1587	235	195	241	3904	3603	3957
# contigs (>= 25000 bp)	871	845	861	814	820	798	77	61	78	1688	1617	1746
# contigs (>= 50000 bp)	420	386	434	409	425	433	26	19	20	869	867	890
Total length (>= 0 bp)	104192704	100809588	103950587	100390452	103779906	103787815	16643147	13874524	16882517	256904152	247030830	261833264
Total length (>= 1000 bp)	104192704	100809588	103950587	100390452	103779906	103787815	16643147	13874524	16882517	256904152	247030830	261833264
Total length (>= 5000 bp)	81936360	78886563	81304687	76533243	79160722	79546616	8067669	6758954	8349316	182402881	178879369	189764914
Total length (>= 10000 bp)	73450987	70465647	72985516	69275326	70930749	71314859	5953268	5033532	6051530	157234724	154516525	163866378
Total length (>= 25000 bp)	59239839	56658581	59764521	57518834	59352795	59073052	3663135	3018121	3596103	123278222	124102948	129796386
Total length (>= 50000 bp)	43404499	40483353	44560320	43104386	45286097	46117444	1817998	1469300	1467605	94279644	97441143	99609682
# contigs	14756	14545	14751	15187	15780	15516	5356	4499	5412	46073	42519	44501
Largest contig	514162	513842	760721	375042	404480	338413	125442	125472	125109	484251	600755	579095
Total length	104192704	100809588	103950587	100390452	103779906	103787815	16643147	13874524	16882517	256904152	247030830	261833264
N50	34909	33764	37147	37382	37701	37943	4655	4721	4842	21784	25308	24184
N90	1923	1899	1942	1813	1793	1825	1229	1213	1221	1648	1677	1722
auN	66968.4	67452.6	69550.8	68014.3	70295.1	69664.9	16564.2	17351.1	16142.1	61957.6	71283.4	68686.5
L50	630	631	607	575	579	568	601	483	597	1910	1594	1792
L90	7019	7010	7064	7543	7821	7626	3847	3235	3881	25795	23114	24234
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
