Sample	FastQC_mqc-generalstats-fastqc-percent_duplicates	FastQC_mqc-generalstats-fastqc-percent_gc	FastQC_mqc-generalstats-fastqc-avg_sequence_length	FastQC_mqc-generalstats-fastqc-percent_fails	FastQC_mqc-generalstats-fastqc-total_sequences
F3_S19_raw_R1	76.36944606624498	44.0	151.0	9.090909090909092	78315136.0
F3_S19_raw_R2	73.11620065731805	44.0	151.0	9.090909090909092	78315136.0
F4_S20_raw_R1	75.67130363251157	44.0	151.0	9.090909090909092	71611601.0
F4_S20_raw_R2	72.47533416095456	44.0	151.0	9.090909090909092	71611601.0
F5_S21_raw_R1	75.799113457599	44.0	151.0	9.090909090909092	77246352.0
F5_S21_raw_R2	73.16806922779995	44.0	151.0	9.090909090909092	77246352.0
F6_S22_raw_R1	74.13661738170737	43.0	151.0	9.090909090909092	68183780.0
F6_S22_raw_R2	71.33502767716557	43.0	151.0	9.090909090909092	68183780.0
F7_S23_raw_R1	75.76579477859136	43.0	151.0	9.090909090909092	77257240.0
F7_S23_raw_R2	72.97308141081791	43.0	151.0	9.090909090909092	77257240.0
F8_S24_raw_R1	74.96318079457005	43.0	151.0	9.090909090909092	75491610.0
F8_S24_raw_R2	72.27718409874832	43.0	151.0	9.090909090909092	75491610.0
GP3_S28_raw_R1	91.11563044477685	40.0	151.0	9.090909090909092	63482392.0
GP3_S28_raw_R2	88.91939224097578	40.0	151.0	9.090909090909092	63482392.0
GP4_S29_raw_R1	91.50004323116605	40.0	151.0	9.090909090909092	59139742.0
GP4_S29_raw_R2	88.90170923296506	40.0	151.0	9.090909090909092	59139742.0
GP5_S30_raw_R1	90.76961254541213	40.0	151.0	9.090909090909092	58611873.0
GP5_S30_raw_R2	88.07779763740967	41.0	151.0	9.090909090909092	58611873.0
J1_S17_raw_R1	47.03674675844495	46.0	151.0	18.181818181818183	93893158.0
J1_S17_raw_R2	43.902386208717544	47.0	151.0	9.090909090909092	93893158.0
J2_S18_raw_R1	38.340869994930294	57.0	151.0	18.181818181818183	70725048.0
J2_S18_raw_R2	33.71043921658338	58.0	151.0	9.090909090909092	70725048.0
M1_S25_raw_R1	34.241284161535006	45.0	151.0	18.181818181818183	79292932.0
M1_S25_raw_R2	33.100557060642075	45.0	151.0	18.181818181818183	79292932.0
M2_S26_raw_R1	29.5588816406635	45.0	151.0	0.0	65613326.0
M2_S26_raw_R2	27.267635449211582	45.0	151.0	0.0	65613326.0
M3_S27_raw_R1	28.709342580733704	45.0	151.0	0.0	64346349.0
M3_S27_raw_R2	27.189142731763297	45.0	151.0	0.0	64346349.0
