Contig	J1_S17_human_mapped Covered Bases	J1_S17_human_mapped Read Count	J2_S18_human_mapped Covered Bases	J2_S18_human_mapped Read Count	F3_S19_human_mapped Covered Bases	F3_S19_human_mapped Read Count	F4_S20_human_mapped Covered Bases	F4_S20_human_mapped Read Count	F5_S21_human_mapped Covered Bases	F5_S21_human_mapped Read Count	F6_S22_human_mapped Covered Bases	F6_S22_human_mapped Read Count	F7_S23_human_mapped Covered Bases	F7_S23_human_mapped Read Count	F8_S24_human_mapped Covered Bases	F8_S24_human_mapped Read Count	M1_S25_human_mapped Covered Bases	M1_S25_human_mapped Read Count	M2_S26_human_mapped Covered Bases	M2_S26_human_mapped Read Count	M3_S27_human_mapped Covered Bases	M3_S27_human_mapped Read Count	GP3_S28_human_mapped Covered Bases	GP3_S28_human_mapped Read Count	GP4_S29_human_mapped Covered Bases	GP4_S29_human_mapped Read Count	GP5_S30_human_mapped Covered Bases	GP5_S30_human_mapped Read Count
NC_060925.1	162751	24938	208054	21821	345562	11707	312224	12538	408535	13356	339408	9388	426554	14127	380263	8948	183606	11429	87436	6270	120097	5845	40913	3299	46280	3966	80267	4151
NC_060926.1	161985	23538	216718	18647	327818	12146	309794	13047	429973	13875	324726	10186	418449	15004	357425	9746	166815	9478	82257	5701	114480	4911	39978	2966	47407	3485	90564	3818
NC_060927.1	132171	20150	173401	16742	268949	10965	261655	11611	349240	11481	272754	8590	331462	12682	307748	7876	147145	7784	67639	4188	90837	3577	33836	3284	37606	3681	79374	4233
NC_060928.1	117465	40412	149439	32954	261274	61605	247288	59691	319653	62764	260067	49840	323330	61378	292875	52101	130245	12901	62727	6796	91514	5784	31114	41860	34788	32499	55779	37297
NC_060929.1	119183	15454	152519	13939	250508	8818	244504	9588	317569	9664	249702	7347	325967	10528	282412	7052	129539	6006	67712	3199	98708	2990	30508	2467	35281	2930	63453	3175
NC_060930.1	115780	12200	136449	10554	236938	7028	216072	7068	310612	7871	239654	5637	301361	8406	271167	5448	125716	6233	60253	3419	87645	3090	29738	1797	31038	1930	69441	2360
NC_060931.1	120004	282713	141212	303274	229092	158453	209970	179550	252349	145780	199526	120752	273162	183184	246366	89254	121336	105811	58094	79016	77173	67201	27998	70685	34915	85077	47223	95357
NC_060932.1	92487	12609	119874	10142	193031	5900	192352	6325	246415	6443	196087	4815	247917	7071	223222	4380	103160	4260	46873	1922	69707	1802	23730	1921	28684	2143	54673	2220
NC_060933.1	83031	10269	116146	8935	173948	6303	180600	6705	230017	7161	192715	5640	236498	7945	215640	5483	115119	3732	54803	1543	61202	1308	21962	1834	25877	1935	32923	2043
NC_060934.1	97286	11295	111793	9634	178878	5628	178921	6035	236146	6845	173872	4488	228649	7184	206489	4508	101452	4146	47578	1788	69846	1718	24440	1339	28035	1544	51329	1830
NC_060935.1	91391	9727	111185	8582	167318	8533	170886	8370	241034	9410	179881	7130	224776	9483	200381	7241	95673	4874	47979	2727	53177	2449	20179	4080	29641	3601	40035	3931
NC_060936.1	96439	11946	118143	10877	176352	6093	170805	6409	246211	7063	169180	4829	233899	7290	201886	4786	97691	4636	47248	2332	70651	2064	25051	1714	26412	1977	44432	2179
NC_060937.1	71725	8281	89403	6276	154851	9083	133900	8717	181591	9115	142991	7432	186591	9390	176188	7880	83990	5071	43206	3100	55936	3068	17349	4771	18675	4044	41938	4662
NC_060938.1	68077	8018	85900	6721	134068	3850	116580	3851	160796	4516	133343	3094	170249	4819	147278	3060	75540	3444	38186	1724	47180	1587	18925	997	17053	1083	28878	1165
NC_060939.1	67427	22392	89565	18965	124059	10731	134916	12191	166443	10180	124001	8493	157159	11973	144261	6725	76815	10316	38725	6981	51225	5847	16640	3255	18302	3911	30901	4159
NC_060940.1	74859	10513	92786	10751	129444	5089	126104	5479	170395	5403	126106	4032	158854	5849	150827	3796	84156	3695	38232	1934	52938	1643	18481	1366	20859	1577	27986	1652
NC_060941.1	76037	6603	87029	6319	110746	3470	119280	3805	157761	4003	105995	2837	155119	4458	122243	2744	67575	2816	32982	1473	47800	1396	17296	825	20847	1009	30916	1113
NC_060942.1	48793	5789	57516	4467	90178	2658	103524	3008	131898	3374	104481	2285	129976	3516	120042	2232	54251	2131	29436	956	39426	852	11109	664	14029	750	26579	900
NC_060943.1	65330	13439	70332	11056	89067	5065	88143	5502	111121	5442	87798	3945	108217	6156	100688	3442	58351	3427	31684	1729	34441	1329	15578	1347	17963	1718	22469	1760
NC_060944.1	48454	6450	54890	7885	88970	17295	79997	16106	113981	17644	88298	13194	108526	16941	93780	14633	49984	2615	23025	1228	34070	1164	11176	5530	12642	4718	26476	5412
NC_060945.1	27790	2673	41973	1835	62045	1558	55124	1583	83238	1837	56829	1198	78258	1864	68062	1356	37441	2531	19535	1650	23045	1610	6149	340	7524	417	20394	483
NC_060946.1	40221	4343	49611	4273	70588	2060	66846	2195	82362	2270	64406	1684	79559	2490	69256	1552	41681	2109	18581	1164	25291	1137	7701	480	8862	608	12738	629
NC_060947.1	102329	20099	123318	14803	188131	9592	183182	10278	259636	11111	202159	7815	249652	11892	225160	7291	110093	8335	57767	4828	68991	4369	26150	2493	29762	2798	61693	3205
NC_060948.1	16803	3780	15057	2821	10528	1429	10669	1567	12111	1874	8546	1020	11450	1830	9137	1088	9782	1406	5070	681	4005	615	3970	422	5440	533	4361	458
