Contig	J1_S17_soil_Genomad_mapped Mean	J1_S17_soil_Genomad_mapped Trimmed Mean	J1_S17_soil_Genomad_mapped Read Count	J2_S18_soil_Genomad_mapped Mean	J2_S18_soil_Genomad_mapped Trimmed Mean	J2_S18_soil_Genomad_mapped Read Count
J1_S17_contig_74	30.63684	30.565168	2084	0	0	0
J1_S17_contig_82	35.321648	27.988914	3446	7.3015184	3.8223464	828
J1_S17_contig_121	160.48997	161.40605	11781	0.011011764	0	3
J1_S17_contig_240	16.861263	16.723333	1177	29.19603	28.80024	2053
J1_S17_contig_305	7.859186	7.676508	597	6.612872	6.350466	503
J1_S17_contig_312	10.047243	9.898303	1201	2.6836069	0.28338906	640
J1_S17_contig_363	25.35716	24.85239	4322	0.9995146	0.8376034	178
J1_S17_contig_403	1615.1257	1513.176	262370	965.6665	275.77142	169801
J1_S17_contig_408	1218.4905	1223.3168	323322	0.045664508	0	13
J1_S17_contig_437	69.4315	68.44184	19635	3.6563208	0.5737758	1594
J1_S17_contig_450	22.91092	22.72138	3945	0.43961373	0.03337129	161
J1_S17_contig_529	35.522408	35.38807	2760	2.23324	1.730083	258
J1_S17_contig_589	7.0898376	7.02957	610	0.003980643	0	1
J1_S17_contig_608	13.398577	13.257927	1185	0.95699745	0.64022785	93
J1_S17_contig_627	36.92526	37.12102	5028	63.068157	54.95404	9309
J1_S17_contig_766	13.762497	13.557016	1240	0.71774256	0.17328276	147
J1_S17_contig_806	8.098434	7.9703145	849	3.4823906	2.9781976	399
J1_S17_contig_831	53.60689	51.455444	9423	9.603944	3.3143435	2551
J1_S17_contig_841	15.128785	14.023506	3314	0.51975435	0.19337408	171
J1_S17_contig_887	52.05156	52.42792	10687	60.598495	58.799095	12786
J1_S17_contig_893	28.875309	28.749977	2326	6.7683835	6.5463514	557
J1_S17_contig_930	22.90633	20.650549	3804	201.5306	184.98975	32424
J1_S17_contig_961	430.0108	429.7683	29855	289.31125	289.784	20017
J1_S17_contig_1103	7.9495425	7.843296	540	0.09166913	0.017593706	9
J1_S17_contig_1121	6.9345355	6.7704163	170	0	0	0
J1_S17_contig_1148	174.82176	175.01451	18970	0.23149538	0.139186	33
J1_S17_contig_1314	15.606612	15.483998	1546	0.50770736	0.37070903	60
J1_S17_contig_1408	21.85214	21.159252	1776	2.6417058	2.358656	225
J1_S17_contig_1423	9.607926	9.449636	1078	0.047024604	0	12
J1_S17_contig_1465	43.007736	42.808865	7214	2.6509547	2.4617727	474
J1_S17_contig_1486	505.67004	507.4466	42401	25.72334	25.98538	2205
J1_S17_contig_1502	15.90155	15.707537	2760	0	0	0
J1_S17_contig_1542	8.052598	7.9428167	1192	1.7944009	1.6734837	266
J1_S17_contig_1557	15.176158	14.612256	6285	0.22907013	0	190
J1_S17_contig_1599	112.39122	112.85714	68584	0.021060817	0	50
J1_S17_contig_1601	13.154258	12.209799	1596	2.0321577	1.5098473	285
J1_S17_contig_1715	14.574225	13.771921	1238	0.42327267	0.23804504	61
J1_S17_contig_1740	68.05653	68.117355	34238	0.032585256	0	43
J1_S17_contig_1742	7.0082684	6.899647	1050	0	0	0
J1_S17_contig_1808	7.9048758	7.845796	554	0.63346297	0.41686052	84
J1_S17_contig_1885	291.88776	292.3033	22923	0	0	0
J1_S17_contig_1908	17.161303	16.983109	2379	6.8354025	6.0701537	1167
J1_S17_contig_1991	21.485025	21.263388	3361	0.004302926	0	2
J1_S17_contig_2046	16.717234	16.246923	1413	1.1117637	0.659396	113
J1_S17_contig_2054	9.551681	9.420774	2012	0.4650796	0.26389533	131
J1_S17_contig_2087	66.3295	57.42429	6331	409.88654	295.17645	42582
J1_S17_contig_2094	16.019796	15.705365	1786	8.952378	8.827046	984
J1_S17_contig_2103	13.060213	12.590977	1649	0.005571329	0	4
J1_S17_contig_2196	23.493639	23.287052	2234	14.41723	14.413618	1421
J1_S17_contig_2236	253.7512	252.9008	31911	0.0126016475	0	4
J1_S17_contig_2300	14.192432	14.157683	3810	179.21715	183.65878	48106
J1_S17_contig_2307	9.09645	8.837945	820	1.496561	0.7392183	282
J1_S17_contig_2319	9.892065	9.739801	1221	9.847426	9.150467	1241
J1_S17_contig_2345	1136.3534	1153.076	101516	5.0127163	4.7933455	453
J1_S17_contig_2360	18.647388	7.826161	2883	0.5676153	0	104
J1_S17_contig_2381	93.0205	55.855003	36001	11.683629	0	5411
J1_S17_contig_2385	27.145683	26.917652	3144	0.23096505	0	48
J1_S17_contig_2401	10.72249	10.286976	1602	0.79591256	0	300
J1_S17_contig_2431	46.105324	45.980515	3611	22.521946	21.940168	2065
J1_S17_contig_2455	442.13834	441.45285	72922	0.14555673	0.08692308	24
J1_S17_contig_2465	15.865818	15.6908865	3138	0.0038732882	0	2
J1_S17_contig_2497	35.44979	34.80902	17297	178.49126	176.70808	88499
J1_S17_contig_2509	753.6325	605.4729	71885	0.011312049	0	3
J1_S17_contig_2520	82.15437	77.84324	23467	8.571368	8.264697	2529
J1_S17_contig_2552	43.96708	43.822395	5242	0	0	0
J1_S17_contig_2555	21.234991	21.11937	3425	2.0110447	1.4927719	474
J1_S17_contig_2584	9.89152	9.7827425	670	0.20011888	0.065045126	23
J1_S17_contig_2618	32.078983	30.255278	2250	0.028982725	0	2
J1_S17_contig_2643	11.388516	11.223213	1009	0.20863198	0.12099706	21
J1_S17_contig_2679	82.046715	81.707245	15520	5.4601126	4.2232003	1137
J1_S17_contig_2710	65.52571	65.33768	18022	0.81248623	0.2492726	320
J1_S17_contig_2723	21.735882	21.239458	2285	14.923365	14.088793	1639
