Contig	J1_S17_soil_Genomad_mapped Mean	J1_S17_soil_Genomad_mapped Trimmed Mean	J1_S17_soil_Genomad_mapped Covered Bases	J1_S17_soil_Genomad_mapped Variance	J1_S17_soil_Genomad_mapped RPKM	J1_S17_soil_Genomad_mapped TPM	J2_S18_soil_Genomad_mapped Mean	J2_S18_soil_Genomad_mapped Trimmed Mean	J2_S18_soil_Genomad_mapped Covered Bases	J2_S18_soil_Genomad_mapped Variance	J2_S18_soil_Genomad_mapped RPKM	J2_S18_soil_Genomad_mapped TPM
J1_S17_contig_74	30.63684	30.565168	10063	92.07269	2.837651	71.53147	0	0	0	0	0	0
J1_S17_contig_82	35.321648	27.988914	11476	1905.9175	4.114466	103.717415	0	0	0	0	0	0
J1_S17_contig_121	160.48997	161.40605	10775	1376.7395	14.981442	377.6522	0	0	0	0	0	0
J1_S17_contig_240	16.861263	16.723333	10378	25.172594	1.5540019	39.173256	29.19603	28.80024	10378	56.586487	4.1273656	98.93189
J1_S17_contig_305	7.859186	7.676508	11477	16.446262	0.71274585	17.966888	6.612872	6.350466	9218	28.236397	0.9144022	21.91799
J1_S17_contig_312	10.047243	9.898303	17761	18.589935	0.9265404	23.356222	0	0	0	0	0	0
J1_S17_contig_363	25.35716	24.85239	24870	86.58724	2.3812103	60.025543	0	0	0	0	0	0
J1_S17_contig_403	1615.1257	1513.176	22362	2398790.8	160.76529	4052.571	965.6665	275.77142	20801	11015637	158.42628	3797.4363
J1_S17_contig_408	1218.4905	1223.3168	39984	16682.617	110.79949	2793.0332	0	0	0	0	0	0
J1_S17_contig_437	69.4315	68.44184	41197	470.23398	6.530615	164.6237	0	0	0	0	0	0
J1_S17_contig_450	22.91092	22.72138	25520	42.434643	2.1181421	53.39409	0	0	0	0	0	0
J1_S17_contig_529	35.522408	35.38807	10860	118.52591	3.4823146	87.78214	0	0	0	0	0	0
J1_S17_contig_589	7.0898376	7.02957	12962	9.522569	0.64483196	16.254921	0	0	0	0	0	0
J1_S17_contig_608	13.398577	13.257927	13219	27.064651	1.2283115	30.963253	0	0	0	0	0	0
J1_S17_contig_627	36.92526	37.12102	20192	218.98637	3.4119658	86.00879	63.068157	54.95404	15978	5194.2764	9.61881	230.56032
J1_S17_contig_766	13.762497	13.557016	13333	24.749763	1.2743319	32.123352	0	0	0	0	0	0
J1_S17_contig_806	8.098434	7.9703145	15795	11.263388	0.73650694	18.565863	3.4823906	2.9781976	13933	14.106648	0.52704895	12.633223
J1_S17_contig_831	53.60689	51.455444	24899	326.94748	5.1855645	130.7177	0	0	0	0	0	0
J1_S17_contig_841	15.128785	14.023506	28321	93.29167	1.6033661	40.417637	0	0	0	0	0	0
J1_S17_contig_887	52.05156	52.42792	30872	206.75433	4.743291	119.56886	60.598495	58.799095	29811	2294.8674	8.641071	207.12418
J1_S17_contig_893	28.875309	28.749977	11859	53.829178	2.687512	67.746796	6.7683835	6.5463514	11788	13.287314	0.9799519	23.489197
J1_S17_contig_930	22.90633	20.650549	20968	426.655	2.4858346	62.662895	201.5306	184.98975	20968	24187.707	32.263184	773.3398
J1_S17_contig_961	430.0108	429.7683	10344	1114.7179	39.547344	996.9091	289.31125	289.784	10344	400.94733	40.374588	967.76825
