Contig	F3_S19_stool_Genomad_mapped Mean	F3_S19_stool_Genomad_mapped Trimmed Mean	F3_S19_stool_Genomad_mapped Read Count	F4_S20_stool_Genomad_mapped Mean	F4_S20_stool_Genomad_mapped Trimmed Mean	F4_S20_stool_Genomad_mapped Read Count	F5_S21_stool_Genomad_mapped Mean	F5_S21_stool_Genomad_mapped Trimmed Mean	F5_S21_stool_Genomad_mapped Read Count	F6_S22_stool_Genomad_mapped Mean	F6_S22_stool_Genomad_mapped Trimmed Mean	F6_S22_stool_Genomad_mapped Read Count	F7_S23_stool_Genomad_mapped Mean	F7_S23_stool_Genomad_mapped Trimmed Mean	F7_S23_stool_Genomad_mapped Read Count	F8_S24_stool_Genomad_mapped Mean	F8_S24_stool_Genomad_mapped Trimmed Mean	F8_S24_stool_Genomad_mapped Read Count	M1_S25_stool_Genomad_mapped Mean	M1_S25_stool_Genomad_mapped Trimmed Mean	M1_S25_stool_Genomad_mapped Read Count	M2_S26_stool_Genomad_mapped Mean	M2_S26_stool_Genomad_mapped Trimmed Mean	M2_S26_stool_Genomad_mapped Read Count	M3_S27_stool_Genomad_mapped Mean	M3_S27_stool_Genomad_mapped Trimmed Mean	M3_S27_stool_Genomad_mapped Read Count	GP3_S28_stool_Genomad_mapped Mean	GP3_S28_stool_Genomad_mapped Trimmed Mean	GP3_S28_stool_Genomad_mapped Read Count	GP4_S29_stool_Genomad_mapped Mean	GP4_S29_stool_Genomad_mapped Trimmed Mean	GP4_S29_stool_Genomad_mapped Read Count	GP5_S30_stool_Genomad_mapped Mean	GP5_S30_stool_Genomad_mapped Trimmed Mean	GP5_S30_stool_Genomad_mapped Read Count
F3_S19_contig_501	12.626826	12.26213	1091	12.54527	11.750456	1102	13.196235	12.308046	1164	13.618311	13.005729	1191	14.799781	13.833348	1310	15.346145	14.54405	1357	1.523631	1.3307873	163	1.0165612	0.8637271	92	1.0010155	0.8421144	87	3.0431998	2.8621647	271	2.572299	2.4290426	225	2.553941	2.441281	224
F3_S19_contig_938	2726.402	2345.81	2272960	2558.284	2218.8376	2132978	2624.8538	2242.888	2188594	3267.0427	2949.1943	2724745	3804.4082	3466.5393	3175046	3625.2922	3277.8345	3023434	6.291896	5.9713984	5759	5.2788734	4.9399858	4419	5.5598855	5.226199	4645	1709.6736	1498.5054	1434464	1330.5457	1171.9923	1116092	1401.1696	1218.1382	1175176
F3_S19_contig_1017	64.835464	64.44819	17666	60.40594	60.06905	16460	63.64235	63.111523	17352	57.615643	56.659748	15735	67.9415	67.27517	18553	65.941444	65.32278	17968	0.20871791	0.123253204	64	0.15314184	0.05805781	43	0.11307194	0.04785736	31	25.754387	25.534554	7021	20.894829	20.66932	5692	23.894262	23.744085	6518
F3_S19_contig_1426	20.331827	19.858034	9627	19.198408	18.753717	9093	19.149305	18.688036	9070	21.872202	21.199009	10347	25.996729	25.437506	12306	25.839424	25.207079	12217	2.8628428	2.3350587	1633	1.9829385	1.5926532	966	2.4651904	1.936443	1200	0.5118864	0.40903014	243	0.55760545	0.46624714	260	0.8077789	0.69162273	385
F3_S19_contig_1707	5.66696	5.418953	518	5.2232723	4.9917774	485	5.223932	5.1408453	480	5.8851027	5.669625	541	6.627244	6.516079	609	5.415403	5.2842956	501	9.295376	9.043475	923	9.908332	9.728649	920	9.65399	9.424896	894	2.2203414	2.009851	216	1.8136587	1.6377921	171	2.5747051	2.3304567	241
F3_S19_contig_2046	1724.1294	1754.8427	564643	1602.0035	1631.5499	524795	1662.6149	1688.8823	544636	1532.9622	1559.2	502251	1695.1173	1726.4885	555707	1728.8942	1757.0768	566421	14.0554695	13.962308	5402	9.685332	9.602371	3312	14.902984	14.871974	4979	55.839222	55.268044	18404	48.415504	47.971294	15921	78.8543	78.36834	25955
F3_S19_contig_2056	14.112111	13.142994	2545	13.29865	12.464371	2376	14.576874	13.607843	2640	13.098689	12.245294	2346	14.128781	13.241207	2546	14.654314	14.02026	2636	200.20583	201.1176	37838	167.86523	167.43945	29640	179.52115	180.136	31671	1.5434552	1.3797226	275	1.0722755	0.87887484	190	1.5114459	1.3375505	264
F3_S19_contig_2071	10.494817	10.344199	1194	10.969487	10.900384	1262	11.520586	11.426833	1327	11.280059	11.140868	1302	13.591567	13.447784	1569	12.907819	12.829983	1497	1.3189459	1.1856334	185	0.5826647	0.44667837	69	0.9012591	0.8172295	109	3.0840409	2.9020755	362	2.5557833	2.42371	298	2.6364276	2.4861083	307
F3_S19_contig_2159	415.12045	47.67966	154438	381.17557	43.068893	141624	406.8584	44.7014	151524	320.71432	40.002777	118902	379.93817	43.237175	140871	365.9893	44.7861	135068	112.56426	112.8753	27654	142.75635	143.26501	33350	105.3862	105.404205	24634	108.03026	0.09714906	41819	87.26294	0.029722568	33975	99.121544	0.119305305	38511
F3_S19_contig_2899	6165.4956	6136.969	1752705	5647.981	5620.962	1605816	5780.8765	5756.2334	1643247	4803.2886	4773.389	1365765	5514.5527	5478.594	1568585	5460.7456	5425.1006	1552662	9.819526	9.402187	3200	8.364556	8.052519	2472	9.75386	9.366437	2888	192.58298	176.91785	54933	169.29784	155.81154	48254	225.08174	207.51959	64146
