Contig	F3_S19_stool_Genomad_mapped Mean	F3_S19_stool_Genomad_mapped Trimmed Mean	F3_S19_stool_Genomad_mapped Covered Bases	F3_S19_stool_Genomad_mapped Variance	F3_S19_stool_Genomad_mapped RPKM	F3_S19_stool_Genomad_mapped TPM	F4_S20_stool_Genomad_mapped Mean	F4_S20_stool_Genomad_mapped Trimmed Mean	F4_S20_stool_Genomad_mapped Covered Bases	F4_S20_stool_Genomad_mapped Variance	F4_S20_stool_Genomad_mapped RPKM	F4_S20_stool_Genomad_mapped TPM	F5_S21_stool_Genomad_mapped Mean	F5_S21_stool_Genomad_mapped Trimmed Mean	F5_S21_stool_Genomad_mapped Covered Bases	F5_S21_stool_Genomad_mapped Variance	F5_S21_stool_Genomad_mapped RPKM	F5_S21_stool_Genomad_mapped TPM	F6_S22_stool_Genomad_mapped Mean	F6_S22_stool_Genomad_mapped Trimmed Mean	F6_S22_stool_Genomad_mapped Covered Bases	F6_S22_stool_Genomad_mapped Variance	F6_S22_stool_Genomad_mapped RPKM	F6_S22_stool_Genomad_mapped TPM	F7_S23_stool_Genomad_mapped Mean	F7_S23_stool_Genomad_mapped Trimmed Mean	F7_S23_stool_Genomad_mapped Covered Bases	F7_S23_stool_Genomad_mapped Variance	F7_S23_stool_Genomad_mapped RPKM	F7_S23_stool_Genomad_mapped TPM	F8_S24_stool_Genomad_mapped Mean	F8_S24_stool_Genomad_mapped Trimmed Mean	F8_S24_stool_Genomad_mapped Covered Bases	F8_S24_stool_Genomad_mapped Variance	F8_S24_stool_Genomad_mapped RPKM	F8_S24_stool_Genomad_mapped TPM	M1_S25_stool_Genomad_mapped Mean	M1_S25_stool_Genomad_mapped Trimmed Mean	M1_S25_stool_Genomad_mapped Covered Bases	M1_S25_stool_Genomad_mapped Variance	M1_S25_stool_Genomad_mapped RPKM	M1_S25_stool_Genomad_mapped TPM	M2_S26_stool_Genomad_mapped Mean	M2_S26_stool_Genomad_mapped Trimmed Mean	M2_S26_stool_Genomad_mapped Covered Bases	M2_S26_stool_Genomad_mapped Variance	M2_S26_stool_Genomad_mapped RPKM	M2_S26_stool_Genomad_mapped TPM	M3_S27_stool_Genomad_mapped Mean	M3_S27_stool_Genomad_mapped Trimmed Mean	M3_S27_stool_Genomad_mapped Covered Bases	M3_S27_stool_Genomad_mapped Variance	M3_S27_stool_Genomad_mapped RPKM	M3_S27_stool_Genomad_mapped TPM	GP3_S28_stool_Genomad_mapped Mean	GP3_S28_stool_Genomad_mapped Trimmed Mean	GP3_S28_stool_Genomad_mapped Covered Bases	GP3_S28_stool_Genomad_mapped Variance	GP3_S28_stool_Genomad_mapped RPKM	GP3_S28_stool_Genomad_mapped TPM	GP4_S29_stool_Genomad_mapped Mean	GP4_S29_stool_Genomad_mapped Trimmed Mean	GP4_S29_stool_Genomad_mapped Covered Bases	GP4_S29_stool_Genomad_mapped Variance	GP4_S29_stool_Genomad_mapped RPKM	GP4_S29_stool_Genomad_mapped TPM	GP5_S30_stool_Genomad_mapped Mean	GP5_S30_stool_Genomad_mapped Trimmed Mean	GP5_S30_stool_Genomad_mapped Covered Bases	GP5_S30_stool_Genomad_mapped Variance	GP5_S30_stool_Genomad_mapped RPKM	GP5_S30_stool_Genomad_mapped TPM
F3_S19_contig_501	12.626826	12.26213	12951	25.91128	0.7237182	24.943722	12.54527	11.750456	12951	47.01953	0.7992716	27.757582	13.196235	12.308046	12951	54.09164	0.78961664	27.408777	13.618311	13.005729	12951	37.273994	0.91729087	33.286774	14.799781	13.833348	12951	62.601395	0.88391185	31.941133	15.346145	14.54405	12951	56.143692	0.94276685	33.971504	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0431998	2.8621647	11258	5.743837	0.18609944	1.7179763	2.572299	2.4290426	11427	3.7826045	0.16151801	1.3464953	2.553941	2.441281	11305	3.4502344	0.16213575	1.4635485
F3_S19_contig_938	2726.402	2345.81	125472	6522151.5	155.6299	5363.9507	2558.284	2218.8376	125472	5374864.5	159.68187	5545.5293	2624.8538	2242.888	125472	6469269	153.24455	5319.346	3267.0427	2949.1943	125472	4780732.5	216.60959	7860.356	3804.4082	3466.5393	125472	5783014.5	221.12823	7990.716	3625.2922	3277.8345	125472	5858152	216.81107	7812.5337	6.291896	5.9713984	123364	17.473886	7.3258014	217.35988	5.2788734	4.9399858	121607	14.026225	6.9745336	205.73706	5.5598855	5.226199	122684	14.522556	7.255492	213.26047	1709.6736	1498.5054	125472	2438699	101.67682	938.6294	1330.5457	1171.9923	125472	1383052.1	82.697975	689.41187	1401.1696	1218.1382	125472	1769981.5	87.799126	792.5353
F3_S19_contig_1017	64.835464	64.44819	40779	131.3949	3.7217715	128.27487	60.40594	60.06905	40779	122.34794	3.7914848	131.67296	63.64235	63.111523	40779	146.66713	3.7383473	129.76355	57.615643	56.659748	40779	211.18007	3.8488305	139.6669	67.9415	67.27517	40779	188.41252	3.9757454	143.66803	65.941444	65.32278	40779	179.52388	3.9645228	142.85687	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	25.754387	25.534554	40547	159.44067	1.5312338	14.135591	20.894829	20.66932	40322	121.28734	1.2976873	10.818172	23.894262	23.744085	40303	155.8853	1.498345	13.525088
F3_S19_contig_1426	20.331827	19.858034	70756	91.632996	1.168549	40.27527	19.198408	18.753717	70655	86.359215	1.2067883	41.91006	19.149305	18.688036	70758	80.196304	1.1258533	39.080048	21.872202	21.199009	70683	145.17288	1.4582129	52.91581	25.996729	25.437506	70682	191.87823	1.5193777	54.90443	25.839424	25.207079	70696	205.24872	1.5531027	55.96426	2.8628428	2.3350587	56555	12.324475	3.6825519	109.263	0	0	0	0	0	0	2.4651904	1.936443	54779	11.005284	3.3228984	97.66988	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_contig_1707	5.66696	5.418953	13532	12.4929905	0.3225471	11.116928	5.2232723	4.9917774	13011	12.484588	0.33019698	11.46728	5.223932	5.1408453	13314	8.041452	0.30564916	10.609537	5.8851027	5.669625	13396	14.078837	0.39112112	14.193054	6.627244	6.516079	13457	12.182086	0.3857213	13.938474	5.415403	5.2842956	13331	8.55211	0.32672387	11.773111	9.295376	9.043475	13680	25.754671	10.677557	316.80798	9.908332	9.728649	13645	26.934074	13.205083	389.52792	9.65399	9.424896	13689	23.669216	12.699329	373.2711	2.2203414	2.009851	10530	5.0353537	0.13923493	1.2853471	0	0	0	0	0	0	2.5747051	2.3304567	11003	6.123669	0.1637444	1.4780688
F3_S19_contig_2046	1724.1294	1754.8427	49348	405013.88	98.29976	3388.0059	1602.0035	1631.5499	49336	344402.34	99.89326	3469.1538	1662.6149	1688.8823	49348	389779.3	96.96242	3365.7092	1532.9622	1559.2	49330	330348.22	101.5196	3683.9568	1695.1173	1726.4885	49348	387301.75	98.40503	3555.9756	1728.8942	1757.0768	49348	416786.1	103.275566	3721.413	14.0554695	13.962308	48700	41.220848	17.47189	518.3987	9.685332	9.602371	48345	26.645975	13.291033	392.06335	14.902984	14.871974	48909	41.651237	19.774273	581.2247	55.839222	55.268044	46423	847.8898	3.316819	30.619217	48.415504	47.971294	46273	645.23444	2.9994562	25.00498	78.8543	78.36834	47745	1628.1942	4.9304385	44.505516
F3_S19_contig_2056	14.112111	13.142994	25705	171.60701	0.85058606	29.316368	13.29865	12.464371	25705	137.45232	0.86825025	30.153135	14.576874	13.607843	25705	148.24214	0.90230423	31.32032	13.098689	12.245294	25701	117.15023	0.9103514	33.034946	14.128781	13.241207	25598	131.34496	0.86552924	31.27689	14.654314	14.02026	25683	113.30032	0.9226895	33.24804	200.20583	201.1176	25705	5133.594	234.94458	6970.9097	167.86523	167.43945	25705	2609.598	228.3487	6735.9067	179.52115	180.136	25705	3091.9558	241.47499	7097.668	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_contig_2071	10.494817	10.344199	17225	16.301878	0.5955156	20.525074	10.969487	10.900384	17225	13.519687	0.6882024	23.90032	11.520586	11.426833	17225	14.356888	0.6768281	23.493702	11.280059	11.140868	17225	17.548948	0.7539636	27.359941	13.591567	13.447784	17225	25.158121	0.7959847	28.76379	12.907819	12.829983	17225	17.597458	0.7819705	28.17739	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	3.0840409	2.9020755	15573	5.650837	0.18690823	1.7254423	2.5557833	2.42371	14880	3.9321551	0.16084172	1.3408571	2.6364276	2.4861083	14349	4.361189	0.16707565	1.50814
F3_S19_contig_2159	415.12045	47.67966	34953	19034396	37.959263	1308.3064	381.17557	43.068893	34953	16123229	38.05997	1321.7698	406.8584	44.7014	34953	18408254	38.085846	1322.0162	320.71432	40.002777	34953	10922912	33.931522	1231.3114	379.93817	43.237175	34953	15679738	35.21909	1272.6813	365.9893	44.7861	34953	14322167	34.769283	1252.8707	112.56426	112.8753	34953	449.953	126.278206	3746.7307	142.75635	143.26501	34953	454.74353	188.95107	5573.7417	105.3862	105.404205	34953	289.29465	138.12697	4059.9614	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_contig_2899	6165.4956	6136.969	42821	1206454.5	351.64145	12119.696	5647.981	5620.962	42821	1037125.25	352.25327	12233.265	5780.8765	5756.2334	42821	974876.8	337.14188	11702.696	4803.2886	4773.389	42821	676692	318.13965	11544.695	5514.5527	5478.594	42821	830724.5	320.10483	11567.348	5460.7456	5425.1006	42821	919894	326.248	11755.963	9.819526	9.402187	42658	25.475727	11.927462	353.89316	8.364556	8.052519	42583	22.024256	11.432196	337.23068	9.75386	9.366437	42763	28.764284	13.21808	388.51862	192.58298	176.91785	42821	19361.697	11.409211	105.324104	169.29784	155.81154	42821	14505.634	10.476548	87.33774	225.08174	207.51959	42821	25179.363	14.042578	126.757935
