Contig	GP3_S28-mda_virome_Genomad_mapped Mean	GP3_S28-mda_virome_Genomad_mapped Trimmed Mean	GP3_S28-mda_virome_Genomad_mapped Covered Bases	GP3_S28-mda_virome_Genomad_mapped Variance	GP3_S28-mda_virome_Genomad_mapped RPKM	GP3_S28-mda_virome_Genomad_mapped TPM	GP4_S29-mda_virome_Genomad_mapped Mean	GP4_S29-mda_virome_Genomad_mapped Trimmed Mean	GP4_S29-mda_virome_Genomad_mapped Covered Bases	GP4_S29-mda_virome_Genomad_mapped Variance	GP4_S29-mda_virome_Genomad_mapped RPKM	GP4_S29-mda_virome_Genomad_mapped TPM	GP5_S30-mda_virome_Genomad_mapped Mean	GP5_S30-mda_virome_Genomad_mapped Trimmed Mean	GP5_S30-mda_virome_Genomad_mapped Covered Bases	GP5_S30-mda_virome_Genomad_mapped Variance	GP5_S30-mda_virome_Genomad_mapped RPKM	GP5_S30-mda_virome_Genomad_mapped TPM
GP3_S28_contig_81	9300.771	8992.833	13985	52025304	560.84357	3112.2585	7422.0386	7169.598	13953	33289536	466.4566	2307.8657	8604.437	8344.221	13928	41964372	545.8017	2891.0605
GP3_S28_contig_134	535948.75	529207.1	4632	44986900000	31478.268	174680.66	657472.3	648183	4632	67980755000	40244.832	199117.52	680337.25	670052.2	4632	75404214000	42032.938	222644.47
GP3_S28_contig_191	6870.1685	6544.579	43261	10268620	413.29944	2293.5	5447.4893	5181.63	43261	6655168.5	341.4993	1689.62	6202.749	5913.5938	43261	7596885.5	392.52963	2079.1929
GP3_S28_contig_245	94125.9	94512.99	6510	90669920	5596.001	31053.582	104102.484	104515.74	6510	110125220	6449.209	31908.438	49916.58	50100.99	6510	26017968	3121.213	16532.78
GP3_S28_contig_246	30433.852	30118.092	59622	58393436	1834.5507	10180.368	21747.146	21491.35	59622	29861574	1366.2684	6759.8203	25519.455	25216.182	59622	39203950	1618.4202	8572.619
GP3_S28_contig_366	113316.34	101944.25	3195	21604344000	6514.5254	36150.688	104717.63	94358.16	3195	18067184000	6274.5938	31044.506	76332.445	68644.88	3195	9772641000	4616.7773	24454.645
GP3_S28_contig_640	21919.738	14513.811	1755	2173675500	1193.4136	6622.543	26497.363	17673.387	1725	3100578800	1505.0669	7446.547	27947.703	18648.836	1697	3448696800	1602.8412	8490.104
GP3_S28_contig_665	8.279324	8.0565195	29876	23.639194	0.5003809	2.7767365	5.121804	4.915736	29048	10.743173	0.3209701	1.5880488	6.6668544	6.471169	29740	15.94645	0.42282316	2.2396553
GP3_S28_contig_676	16897.965	16654.297	95571	19249380	1018.44635	5651.6084	13824.377	13610.98	95571	12537719	868.3216	4296.154	15137.966	14903.947	95571	14282980	959.819	5084.0713
GP3_S28_contig_731	1628.8397	1616.3665	6453	105657.64	97.04531	538.5283	1392.5994	1383.7012	6453	65598.94	86.46716	427.80948	1333.3752	1322.6395	6453	72757.03	83.64459	443.0578
GP3_S28_contig_792	2873.457	2903.038	12246	1363600.3	172.86226	959.25494	2181.9905	2205.448	12246	734196.56	136.83603	677.0172	3166.916	3189.262	12246	1494483.6	200.50551	1062.0592
GP3_S28_contig_812	35.356964	33.707222	37235	361.98932	2.126816	11.802216	25.823622	24.632832	37168	193.01698	1.6188854	8.009683	31.31843	30.216915	37177	238.39403	1.9821848	10.499451
GP3_S28_contig_869	94.848595	81.27262	35046	12533.307	5.7061996	31.665106	77.97862	67.17385	35087	8187.0195	4.886116	24.174809	89.61098	78.055176	35082	9449.2	5.6675286	30.020374
GP3_S28_contig_881	43.156948	43.19503	3100	80.919716	2.64648	14.685966	34.760677	34.74812	3100	60.44795	2.2282512	11.0246105	30.77017	30.95256	3100	38.049595	1.9718025	10.444453
GP3_S28_contig_890	10.290021	10.047361	10401	21.979975	0.61455405	3.4103115	7.6253047	7.460713	10265	15.682323	0.4825082	2.3872836	8.114818	7.609732	10368	27.150818	0.52107507	2.7600849
GP3_S28_contig_909	25.505424	24.81324	29741	130.73778	1.5447663	8.572287	20.291372	19.689032	29741	90.39267	1.2791559	6.3288183	25.278835	24.771486	29741	126.23897	1.6068789	8.511493
GP3_S28_contig_926	8.287232	7.875751	10481	38.1381	0.5158325	2.8624816	6.939154	6.516631	9822	25.525324	0.45540896	2.2532055	7.421769	7.139592	10183	25.640213	0.48524246	2.5702837
GP3_S28_contig_1249	4884.525	4853.5854	2815	354371.16	312.84204	1736.0365	3298.2656	3277.5244	2815	175529.39	220.39218	1090.4237	3679.935	3656.0034	2815	242000.23	247.48958	1310.9291
GP3_S28_contig_1286	12.602196	12.481837	24108	32.840366	0.7598614	4.216658	10.719116	10.519733	24067	25.716162	0.6759522	3.3443756	12.204766	12.051807	24076	27.924753	0.7756649	4.108626
GP3_S28_contig_1358	68.183975	65.24577	43134	1071.6207	4.102678	22.766771	50.84343	48.981594	43134	600.2388	3.1899917	15.782962	58.059116	55.915165	43134	651.74146	3.674159	19.461681
GP3_S28_contig_1422	2602.298	2371.5847	42412	3140000.3	156.30699	867.3856	2022.2174	1840.8297	42372	1873480.8	126.553696	626.1437	2645.9412	2434.1885	42410	2745233.5	167.18813	885.57996
GP3_S28_contig_1494	5315.5977	5255.6294	13158	2975021.3	320.2689	1777.2504	3790.4185	3741.8308	13158	1631994.5	238.0572	1177.8245	5412.3984	5352.82	13158	3100637.8	343.0269	1816.982
GP3_S28_contig_1678	21.896358	21.555292	45122	93.165596	1.318296	7.3155446	18.114716	17.863203	45014	71.0883	1.1384653	5.6327324	21.242151	21.086224	45086	92.566185	1.3477384	7.1388464
