Contig	M1_S25-metaG_Genomad_mapped Mean	M1_S25-metaG_Genomad_mapped Trimmed Mean	M1_S25-metaG_Genomad_mapped Covered Bases	M1_S25-metaG_Genomad_mapped Variance	M1_S25-metaG_Genomad_mapped RPKM	M1_S25-metaG_Genomad_mapped TPM	M2_S26-metaG_Genomad_mapped Mean	M2_S26-metaG_Genomad_mapped Trimmed Mean	M2_S26-metaG_Genomad_mapped Covered Bases	M2_S26-metaG_Genomad_mapped Variance	M2_S26-metaG_Genomad_mapped RPKM	M2_S26-metaG_Genomad_mapped TPM	M3_S27-metaG_Genomad_mapped Mean	M3_S27-metaG_Genomad_mapped Trimmed Mean	M3_S27-metaG_Genomad_mapped Covered Bases	M3_S27-metaG_Genomad_mapped Variance	M3_S27-metaG_Genomad_mapped RPKM	M3_S27-metaG_Genomad_mapped TPM
M1_S25_contig_45	99.690254	99.52373	24076	234.10759	129.94446	3628.0186	88.466354	88.54091	24076	169.15945	131.80606	3674.606	85.0497	84.68088	24076	185.57994	128.11353	3564.129
M1_S25_contig_49	23.714945	23.251282	13144	116.89941	30.765392	858.9624	21.483994	20.826778	13144	122.609634	32.56489	907.8731	19.774666	19.226316	13144	111.196335	30.101242	837.41943
M1_S25_contig_173	613.4225	617.0869	12675	5013.78	775.7007	21657.377	608.92365	613.37854	12675	5569.1753	894.12	24927.066	554.81036	559.0384	12675	4595.0815	817.2731	22736.61
M1_S25_contig_987	67.092285	36.389	21140	25948.195	97.11034	2711.2976	67.49166	34.50328	21140	29415.033	115.49433	3219.8533	73.547264	43.378998	21140	24978.508	123.959526	3448.5654
M1_S25_contig_2280	35.783855	32.691055	11189	550.6861	47.57547	1328.2959	51.203552	46.87441	10993	1032.7833	79.27125	2209.9946	47.358818	43.391163	11081	922.99744	73.47144	2043.982
M1_S25_contig_2634	122.22059	120.41878	20183	619.8001	155.11417	4330.7515	110.95917	108.8222	20183	705.0144	161.59607	4505.118	121.998055	119.89462	20183	775.35266	178.83972	4975.3364
M1_S25_contig_3145	6.5315022	6.4370737	15567	9.601231	8.222282	229.56422	5.9000325	5.8069496	15593	8.014241	8.578938	239.17113	4.860937	4.775289	15189	7.4830523	7.0112896	195.05469
M1_S25_contig_4117	1073.8754	1036.9462	13465	71835.89	1373.0476	38335.16	837.1805	805.3074	13465	47472.3	1239.7699	34563.4	913.0146	882.73676	13465	51088.586	1355.6022	37712.97
M1_S25_contig_4417	99.536194	98.81764	15223	3553.0986	136.6719	3815.8472	59.695084	57.678707	15223	2822.1804	100.21957	2794.0095	78.64247	77.530624	15223	2968.2612	128.14537	3565.0146
M1_S25_contig_4677	9.022747	8.895093	12943	12.58477	11.377334	317.65234	8.115532	7.993313	12893	12.91051	11.785713	328.57254	6.592824	6.4989142	12895	9.478737	9.509515	264.5556
M1_S25_contig_4791	12.000899	11.787671	15722	24.172243	17.481487	488.07895	5.7797327	5.623216	15386	11.043637	8.442962	235.38028	8.418315	8.336044	15708	10.571262	12.492487	347.54224
M1_S25_contig_6383	11.978365	11.463579	13961	41.910305	16.794456	468.89728	7.5494213	7.246181	13948	20.82041	11.246402	313.53717	10.262084	9.915179	13931	31.945202	15.308896	425.8948
M1_S25_contig_6473	33.233616	23.81517	13668	6876.3813	55.282368	1543.4703	27.587069	19.332922	13668	5139.8574	55.38884	1544.1792	30.267792	21.634287	13668	5721.1245	60.30541	1677.7019
M1_S25_contig_6495	108.179825	102.98125	22366	6777.418	157.19894	4388.957	97.66708	93.37772	22366	5377.598	164.11491	4575.3413	91.007965	86.39653	22366	4769.9673	155.20802	4317.901
M1_S25_contig_6555	20.945179	20.661043	23462	48.14877	29.977158	836.95514	14.598146	14.434372	23462	25.355734	21.60117	602.21643	16.892715	16.641455	23462	28.764221	25.03942	696.59875
M1_S25_contig_7091	7.5952024	7.4365335	11573	12.45003	9.493364	265.05258	6.507135	6.3788543	11509	9.3520565	9.608326	267.86945	6.617789	6.487793	11479	12.88787	9.598117	267.02036
M1_S25_contig_7293	9.625461	9.433823	18618	17.730566	13.096639	365.655	7.602014	7.3640356	18499	15.526012	11.769805	328.12885	9.162822	8.882926	18593	22.026175	14.311886	398.1579
M1_S25_contig_7706	20.959183	17.61061	22248	4374.441	36.853855	1028.9507	18.255045	15.421267	22248	3281.639	38.135994	1063.1891	16.204271	13.480242	22248	2901.0457	34.213676	951.82764
M1_S25_contig_8842	5.973552	5.7646394	15722	12.643406	7.937847	221.62282	4.414981	4.0918894	14758	12.271964	6.603265	184.09167	5.40756	5.25939	15471	8.573578	8.075479	224.66055
M1_S25_contig_9670	57.728714	56.284657	19034	455.12714	75.707985	2113.7488	36.48157	35.597965	19034	189.14299	54.567513	1521.2816	48.15696	46.72376	19034	336.76147	72.40315	2014.2621
M1_S25_contig_10074	28.388197	25.144562	19434	704.1979	39.974476	1116.078	20.356617	17.728739	19361	432.56415	29.896605	833.4839	25.97713	22.78653	19361	623.8978	38.325542	1066.22
M1_S25_contig_10331	333.24997	331.5187	31813	2107.451	428.07443	11951.733	276.0182	274.9518	31813	815.83575	403.86533	11259.316	355.8743	354.47867	31813	1051.8461	522.7625	14543.296
M1_S25_contig_10417	4.5798435	4.449028	10535	6.7463923	5.7246637	159.83122	3.414666	3.3067617	10006	5.036412	4.9329042	137.52386	4.705751	4.6711125	10502	5.268273	6.7696123	188.33116
M1_S25_contig_11171	21.09332	20.273058	22085	75.56041	27.104204	756.74274	16.983131	16.216127	22085	59.56205	25.302908	705.41693	18.266834	17.471407	22085	61.05487	27.341728	760.6492
M1_S25_contig_11417	9.380816	8.973771	17497	33.25765	12.083482	337.368	8.84643	8.660669	17172	30.666403	12.832979	357.7691	8.525206	8.235238	17612	27.014364	12.363811	343.9623
M1_S25_contig_12221	84.36942	83.86396	24293	239.41347	106.52832	2974.2446	87.3507	86.73326	24293	236.02444	128.49677	3582.3464	88.192604	88.02609	24293	191.41745	129.55629	3604.268
M1_S25_contig_12369	426.80902	424.18362	59594	41129.42	545.11884	15219.587	343.57956	338.24722	59594	26879.46	511.94272	14272.392	324.13162	313.55603	59594	26815.766	486.0901	13523.071
M1_S25_contig_12516	96.638824	96.08617	11200	295.2421	122.82477	3429.239	87.835655	87.33521	11200	196.61462	128.01895	3569.0254	97.27367	96.83974	11200	171.4128	142.33653	3959.8145
M1_S25_contig_12555	7.026985	6.7536845	11120	16.701408	8.704553	243.02907	5.265764	5.0125175	10362	13.45349	7.6657887	213.71367	5.2048883	5.1135674	10902	6.9274845	7.629047	212.24074
M1_S25_contig_12978	7.3761616	7.288822	10077	11.141762	9.332054	260.5487	5.534119	5.3772893	9881	7.7134886	7.946863	221.54971	4.9527426	4.8286157	9940	7.963295	7.1533175	199.00595
M1_S25_contig_13205	15.636225	14.009718	13870	141.17058	21.259413	593.55774	12.987172	11.613865	13827	92.358025	20.615396	574.7343	12.779301	11.055799	13861	127.66497	20.705877	576.0395
M1_S25_contig_13227	20.32635	8.900111	18192	8119.588	34.472637	962.46765	18.364925	7.8045325	18091	6875.019	36.42333	1015.4421	18.325628	8.798005	18192	5500.359	35.83183	996.84485
M1_S25_contig_13452	446.26346	338.53955	14907	1867625.3	675.52106	18860.383	387.14264	289.40616	14907	1563483.1	695.91315	19401.28	369.0429	274.0003	14907	1486928.4	669.8854	18636.271
M1_S25_contig_14021	67.003654	68.579895	43891	481.20453	84.926315	2371.1228	66.60611	67.99121	43855	493.19336	96.60514	2693.2441	64.01546	65.386856	43888	467.1841	93.19753	2592.7637
M1_S25_contig_14497	8.134125	7.9482307	13269	17.710182	10.431582	291.24716	8.439444	8.209849	13363	18.946154	12.370506	344.87595	6.290037	6.1163964	13079	12.923135	9.483996	263.84555
M1_S25_contig_15090	79.61753	66.99952	11785	9730.63	111.90113	3124.2534	74.64796	63.277573	11785	8744.165	123.17829	3434.0728	83.71723	71.95637	11785	9603.295	137.15984	3815.798
M1_S25_contig_15157	6.928455	6.6806483	14031	17.507067	9.253329	258.35077	5.286534	5.078854	13748	11.216348	8.068556	224.94249	5.928455	5.6876526	14154	11.367931	9.024716	251.06833
M1_S25_contig_15807	222.42558	215.39253	38230	10333.076	286.91995	8010.738	185.85394	179.95445	38230	7385.322	278.65417	7768.5684	165.04698	159.95662	38230	6268.9033	249.64288	6945.0864
M1_S25_contig_16138	7.9691205	7.710721	14203	23.850676	10.337639	288.62427	6.4850163	6.05193	14114	21.291904	9.551192	266.27652	6.853674	6.645536	14074	19.038874	10.108989	281.2331
M1_S25_contig_16750	70.67639	64.73114	38116	11858.702	97.11465	2711.418	57.136173	52.535236	38116	6290.7754	90.837036	2532.4355	55.375126	50.74776	38116	6512.8306	89.19622	2481.4473
M1_S25_contig_17033	662.4377	660.84155	12604	4959.6377	829.3485	23155.213	665.718	663.8218	12604	5139.9404	968.8897	27011.563	587.7302	586.62256	12604	2945.8374	858.99884	23897.422
M1_S25_contig_17256	551.77356	541.5137	13453	12221.69	705.53754	19698.441	494.14893	488.381	13453	8856.2295	731.41693	20391.09	515.331	507.7963	13453	9209.341	763.16376	21231.281
M1_S25_contig_17420	4.782741	4.6981263	11132	5.8688254	6.948268	193.99393	3.397291	3.2441697	9810	6.687306	6.144151	171.29213	5.031844	4.795994	11002	11.675939	8.614845	239.6657
M1_S25_contig_17533	134.84344	105.625984	11130	26136.635	201.08636	5614.2813	118.67377	92.73093	11130	21175.852	206.71686	5763.035	116.90419	89.07701	11130	24420.16	207.56348	5774.434
M1_S25_contig_18379	6.2806964	6.1924605	10200	8.600175	7.8178396	218.27222	3.9575124	3.891886	9964	4.1672664	5.845521	162.96652	5.88	5.798917	10163	7.8233933	8.558034	238.08514
M1_S25_contig_18542	4.1478777	3.9806552	15000	7.533073	5.6108394	156.65329	2.9213905	2.815377	14752	3.9313483	4.479257	124.87666	4.487417	4.421703	15302	5.6667004	6.717513	186.88177
M1_S25_contig_18755	21.164537	21.227299	17757	44.844627	26.265802	733.335	17.703867	17.539913	17691	39.12791	25.514317	711.3108	20.758562	20.803118	17757	37.095905	30.073124	836.6371
M1_S25_contig_19795	9.914278	9.719088	11446	21.441736	12.670714	353.7634	5.5850143	5.4519362	11019	10.068505	8.055296	224.57274	7.4599257	7.380578	11074	15.346352	10.840999	301.59763
M1_S25_contig_20348	48.74467	40.730064	11406	2926.9883	74.82169	2089.0034	44.877487	38.06672	11406	1953.068	78.54533	2189.7556	38.001423	32.303	11406	1404.4426	66.926895	1861.912
M1_S25_contig_20919	85.975075	76.794395	26830	3090.2502	123.858116	3458.0884	79.537254	72.21019	26830	2439.5684	134.21394	3741.735	75.82058	68.35719	26830	2443.1418	128.89635	3585.9065
M1_S25_contig_22533	80.49577	78.67817	54415	1008.12134	108.49473	3029.147	71.22834	69.553	54415	899.61646	111.388855	3105.3967	61.846016	59.98792	54415	876.6693	98.052055	2727.8162
M1_S25_contig_22710	9.154346	8.749312	23871	30.592793	11.656917	325.45828	8.152373	7.8818617	23836	19.354248	11.972785	333.78787	6.8434286	6.5529127	23548	19.672152	10.1045	281.10812
