Contig	F3_S19-treated_virome_Genomad_mapped Mean	F3_S19-treated_virome_Genomad_mapped Trimmed Mean	F3_S19-treated_virome_Genomad_mapped Covered Bases	F3_S19-treated_virome_Genomad_mapped Variance	F3_S19-treated_virome_Genomad_mapped RPKM	F3_S19-treated_virome_Genomad_mapped TPM	F4_S20-treated_virome_Genomad_mapped Mean	F4_S20-treated_virome_Genomad_mapped Trimmed Mean	F4_S20-treated_virome_Genomad_mapped Covered Bases	F4_S20-treated_virome_Genomad_mapped Variance	F4_S20-treated_virome_Genomad_mapped RPKM	F4_S20-treated_virome_Genomad_mapped TPM	F5_S21-treated_virome_Genomad_mapped Mean	F5_S21-treated_virome_Genomad_mapped Trimmed Mean	F5_S21-treated_virome_Genomad_mapped Covered Bases	F5_S21-treated_virome_Genomad_mapped Variance	F5_S21-treated_virome_Genomad_mapped RPKM	F5_S21-treated_virome_Genomad_mapped TPM
F3_S19_contig_115	15.234994	14.071082	12295	142.57901	0.9235302	31.100273	12.513298	11.539383	12166	100.3676	0.85266614	28.967583	13.82042	12.791053	12271	117.36934	0.87418	29.721743
F3_S19_contig_183	34.12998	33.863174	13914	77.01522	1.9976397	67.27134	27.282476	26.880045	13914	56.57166	1.743821	59.24278	30.896324	30.464481	13914	75.00668	1.8515906	62.95328
F3_S19_contig_501	12.6352625	12.270203	12951	26.03079	0.74066854	24.94232	12.584408	11.766513	12951	47.54915	0.8235351	27.977928	13.214905	12.328791	12951	54.229824	0.8105201	27.557335
F3_S19_contig_938	2726.4014	2345.809	125472	6522153.5	158.83809	5348.94	2558.281	2218.835	125472	5374870.5	162.90251	5534.2813	2624.851	2242.885	125472	6469272.5	156.36191	5316.235
F3_S19_contig_1017	64.832756	64.44587	40779	131.42188	3.7982798	127.908646	60.40865	60.070747	40779	122.438515	3.8682084	131.41454	63.636887	63.106434	40779	146.73004	3.8139334	129.672
F3_S19_contig_1255	254.04314	251.86394	35386	1745.8658	14.953942	503.58038	242.77937	241.28836	35386	1429.604	15.602776	530.0726	270.30127	267.7302	35386	1944.759	16.280972	553.54584
F3_S19_contig_1379	8.201296	8.144135	16549	12.880411	0.47449642	15.978862	6.8612423	6.751345	16264	13.820186	0.43463886	14.765973	6.979719	6.7707157	16499	15.807483	0.41572508	14.134472
F3_S19_contig_1426	24.180285	22.947376	70725	224.85776	1.419595	47.80545	22.308891	21.090853	70688	201.88576	1.4319227	48.646667	22.792658	21.526657	70777	212.00578	1.3696337	46.566933
F3_S19_contig_1440	100.91909	94.8219	4790	3222.0715	6.1543655	207.25084	171.28061	162.50323	4791	7217.653	11.444566	388.8059	244.33441	236.80038	4794	12277.489	15.173876	515.9051
F3_S19_contig_1500	16.433386	15.916058	14116	76.70082	0.9602426	32.336575	15.572839	14.806757	14106	81.814224	0.9978923	33.90137	16.314898	15.684977	14107	66.177246	0.9734561	33.09707
