Contig	F6_S22-untreated_virome_Genomad_mapped Mean	F6_S22-untreated_virome_Genomad_mapped Trimmed Mean	F6_S22-untreated_virome_Genomad_mapped Covered Bases	F6_S22-untreated_virome_Genomad_mapped Variance	F6_S22-untreated_virome_Genomad_mapped RPKM	F6_S22-untreated_virome_Genomad_mapped TPM	F7_S23-untreated_virome_Genomad_mapped Mean	F7_S23-untreated_virome_Genomad_mapped Trimmed Mean	F7_S23-untreated_virome_Genomad_mapped Covered Bases	F7_S23-untreated_virome_Genomad_mapped Variance	F7_S23-untreated_virome_Genomad_mapped RPKM	F7_S23-untreated_virome_Genomad_mapped TPM	F8_S24-untreated_virome_Genomad_mapped Mean	F8_S24-untreated_virome_Genomad_mapped Trimmed Mean	F8_S24-untreated_virome_Genomad_mapped Covered Bases	F8_S24-untreated_virome_Genomad_mapped Variance	F8_S24-untreated_virome_Genomad_mapped RPKM	F8_S24-untreated_virome_Genomad_mapped TPM
F6_S22_contig_268	36751.594	35595.33	95571	62254668	2576.805	97448.05	43582.125	42349.344	95571	75067660	2682.2725	101535.4	40415.52	39187.918	95571	71336310	2558.756	96267.79
F6_S22_contig_292	34.00186	34.09077	11974	69.74964	2.4265118	91.76436	39.019367	39.16463	11974	74.36336	2.4526334	92.8426	40.231815	40.341194	11974	57.421974	2.5850785	97.258125
F6_S22_contig_339	18.782486	18.706459	21036	22.544542	1.318994	49.8809	20.853922	20.800138	21035	34.108475	1.2860438	48.682217	20.998037	20.891212	21036	29.0904	1.3310231	50.076942
F6_S22_contig_385	13806.221	13779.987	43261	1533186.6	966.7677	36560.62	14698.113	14673.489	43261	1750566.8	903.3088	34194.074	14900.449	14874.988	43261	1864989.5	942.08276	35443.863
F6_S22_contig_424	14929.306	15024.302	42893	12208813	1045.011	39519.582	17107.324	17225.822	42817	14541773	1051.033	39786.07	16813.814	16915.898	42857	14715195	1062.7748	39984.65
F6_S22_contig_448	11.136514	10.748806	10115	29.938856	0.8038438	30.399252	13.275928	12.600822	10149	53.37645	0.8520446	32.253513	12.69927	12.056549	10112	45.93825	0.8479329	31.90168
F6_S22_contig_477	135.76294	102.31597	39747	4496750	37.480404	1417.4104	169.24712	113.79688	39747	13054509	47.379635	1793.5201	138.31201	113.5471	39747	2175926	26.374563	992.2874
F6_S22_contig_583	787.5147	778.7567	40697	16426.809	55.13593	2085.0962	919.49786	909.0388	40697	20620.924	56.520573	2139.5444	892.07794	881.99786	40697	22097.549	56.406597	2122.1787
F6_S22_contig_619	15.599261	15.353065	11786	63.642822	1.1059002	41.82226	16.26229	16.113138	11786	72.42574	1.0086426	38.18142	17.03558	16.938229	11786	61.390568	1.0948362	41.190914
F6_S22_contig_620	570.32135	534.3375	10118	66573.305	41.09452	1554.0872	667.8405	624.4332	10118	91694.59	42.253273	1599.4658	630.3881	591.8814	10118	73961.05	40.986538	1542.0321
F6_S22_contig_655	28.753649	28.093235	41193	90.380295	2.0230153	76.505165	32.981117	32.621754	41193	79.52902	2.0376565	77.133965	31.170431	30.475866	41193	101.09566	1.9773667	74.39423
F6_S22_contig_730	11.1500225	10.947122	24293	24.561543	0.81849337	30.953274	12.317359	12.061577	24293	30.239428	0.7953898	30.108885	12.640102	12.351972	24290	35.59447	0.8359865	31.452229
F6_S22_contig_825	65.99091	65.68331	38883	217.74016	4.6240582	174.86974	75.13929	74.605034	38883	242.62636	4.624824	175.0693	74.38063	73.55294	38883	306.60187	4.704628	177.00175
F6_S22_contig_937	2409.9429	2400.5183	34334	90789.734	168.60423	6376.173	2790.69	2779.0068	34334	115977.92	171.3462	6486.182	2718.685	2708.6316	34334	123696.25	171.70648	6460.0938
F6_S22_contig_1153	22.938332	22.660507	11274	47.031532	1.6391683	61.989048	22.98247	22.795446	11274	42.71739	1.4412448	54.557228	22.16415	21.872952	11274	37.89142	1.4361912	54.033684
F6_S22_contig_1175	19.450768	19.227448	6504	58.006744	1.4049312	53.130817	24.177956	23.847963	6519	72.804924	1.5714418	59.485767	24.69379	24.338732	6528	95.616905	1.6409037	61.73554
F6_S22_contig_1286	11.158066	10.951005	12093	38.823944	0.7873106	29.77403	13.089204	12.855423	12140	37.7581	0.8073041	30.559881	10.74406	10.52283	12016	42.25048	0.6842518	25.743523
F6_S22_contig_1659	8866.524	8907.005	12246	2148502.5	617.1265	23338.113	10038.292	10088.963	12246	2799145.8	613.182	23211.549	9868.127	9917.2	12246	2440851.5	620.16626	23332.45
F6_S22_contig_1712	1661.3003	1636.0507	45518	146482.17	116.44274	4403.5596	1836.8282	1811.1436	45518	162015.5	113.009415	4277.8867	1873.369	1842.9473	45518	183637.7	118.564575	4460.741
F6_S22_contig_1835	30.723595	28.863676	127467	439.78113	2.1870155	82.707214	35.869404	33.690697	127467	585.3049	2.2388754	84.75097	35.504433	33.477566	127467	569.5122	2.279739	85.77034
F6_S22_contig_1858	36.442986	26.145414	23960	4215.835	3.031714	114.651535	39.17393	28.510847	24249	4629.2285	2.810062	106.37281	40.5206	29.723866	24115	4798.7593	2.9849813	112.30355
F6_S22_contig_2010	21.629929	21.034393	40488	89.48964	1.5893873	60.106487	25.030014	24.355968	40497	108.95296	1.6217562	61.390377	25.010384	24.39653	40486	115.10999	1.6646299	62.628185
F6_S22_contig_2018	243.67686	219.69434	10028	51344.496	18.715702	707.7789	274.05295	246.92061	10028	62606.973	18.517841	700.9788	274.73508	248.1282	10028	61236.277	19.046873	716.5984
F6_S22_contig_2085	264.91168	262.7326	35386	1753.5691	18.765146	709.6487	301.63794	300.42566	35386	1918.5886	18.789549	711.2643	297.43344	294.94382	35386	2248.9802	19.037016	716.2275
F6_S22_contig_2871	6.7499266	6.6019754	30358	13.749281	0.47537264	17.977362	6.822739	6.6309505	30436	14.124599	0.42213926	15.979762	7.5018463	7.3573217	30494	14.631925	0.47946426	18.038826
F6_S22_contig_2883	5.2945833	5.149578	30665	7.8153424	0.37148687	14.048665	5.4754677	5.341109	30729	8.651823	0.33779135	12.786845	5.000291	4.865028	30565	8.013599	0.3161481	11.894407
F6_S22_contig_3030	1398.391	1367.2643	94237	73382.73	98.06692	3708.634	1545.7299	1514.1581	94237	81830.1	95.1504	3601.8472	1518.3629	1485.5977	94237	85748.086	96.147644	3617.3516
F6_S22_contig_3456	11.014372	10.85561	17963	15.890537	0.7749637	29.307087	13.26301	13.101852	17963	19.31321	0.8159072	30.88557	13.43036	13.265452	17963	25.318493	0.8504555	31.996592
F6_S22_contig_3709	4805.061	4775.9077	42821	687295.94	336.62622	12730.322	5516.3364	5481.3115	42821	842686.7	339.1535	12838.404	5462.69	5427.785	42821	933692.56	345.56668	13001.216
F6_S22_contig_4288	177.37856	150.93051	54840	24852.549	12.440547	470.46906	203.54376	174.12584	54840	31727.041	12.527788	474.23	196.2272	165.93375	54840	32428.166	12.419526	467.25836
F6_S22_contig_4361	11.502743	11.080855	33515	34.339077	0.81622744	30.867577	13.160078	12.783909	33508	41.294807	0.8232197	31.162352	13.462431	13.007759	33508	45.070194	0.86414856	32.51178
F6_S22_contig_4663	23.402914	22.847332	61699	144.0113	1.6460681	62.250008	27.785812	27.318224	61600	187.9354	1.7156186	64.94346	27.624657	27.11149	61549	199.25534	1.7551403	66.033455
F6_S22_contig_5006	5.492748	5.2507405	15285	11.341677	0.38476917	14.55096	5.387122	5.0838213	15185	15.544676	0.33097872	12.528958	4.81587	4.5761976	15021	9.808359	0.3038579	11.432011
F6_S22_contig_5100	17.556318	17.404596	20689	22.380896	1.2321624	46.59714	20.757885	20.666739	20694	30.38339	1.2800064	48.453682	19.125195	19.047647	20694	23.767427	1.2107183	45.55072
F6_S22_contig_5215	342.60672	328.30167	45035	13871.979	24.041046	909.16925	359.94913	345.26093	45035	14885.467	22.186172	839.8411	376.37875	360.8914	45035	15992.733	23.854109	897.4603
F6_S22_contig_5341	9.299552	9.0103855	15770	19.325397	0.66589665	25.182453	9.864469	9.576042	15770	15.893215	0.62290585	23.579624	9.363829	9.148457	15770	16.371431	0.60915214	22.918064
F6_S22_contig_5416	78.71917	78.228485	34555	173.32288	5.5510983	209.92795	88.431274	87.75117	34555	244.01953	5.4712124	207.10858	85.9664	85.23187	34555	260.34183	5.481146	206.21655
F6_S22_contig_5920	30.616226	30.475008	25452	54.522556	2.1570408	81.57364	35.796894	35.71466	25467	70.625534	2.2238188	84.18098	35.275585	35.083645	25467	66.47899	2.2471507	84.544304
F6_S22_contig_6039	26619.834	25857.252	73617	269012200	1870.1627	70724.65	29478.73	28723.195	73597	323934430	1817.8318	68812.65	29609.27	28756.285	73601	348813100	1878.3296	70668.19
F6_S22_contig_6066	5.8636203	5.654541	36172	10.116629	0.41091534	15.539752	5.900047	5.5913553	36332	13.368015	0.36149007	13.683944	6.450739	6.20099	36280	13.300019	0.407608	15.335392
F6_S22_contig_6162	13.697687	13.595352	11003	21.412561	0.952475	36.02012	14.708099	14.488688	10924	23.066462	0.9011914	34.11393	15.481618	15.56669	10850	26.92863	0.97700083	36.757572
F6_S22_contig_6219	9.443383	9.331111	12814	14.258188	0.6613727	25.011372	11.554327	11.45973	12642	23.946823	0.7044636	26.666954	11.351232	11.397526	12301	22.283957	0.71769434	27.001736
F6_S22_contig_6283	10.537604	10.231276	12760	42.098022	0.74311066	28.10249	12.92713	12.555546	12872	61.213486	0.7995326	30.265696	12.496843	11.963373	12962	60.61524	0.80023086	30.106989
F6_S22_contig_6538	273.71033	270.29822	10700	1955.6959	19.883858	751.9555	338.3729	334.56625	10700	2610.683	21.520292	814.6345	300.24512	296.60437	10700	1707.1123	19.77449	743.97327
F6_S22_contig_6572	3.0475066	2.9664574	12898	4.1422763	0.21366407	8.08022	3.3903556	3.1700182	13294	6.0621223	0.20709796	7.8395395	3.5319452	3.432716	13155	5.4718075	0.22194374	8.350162
F6_S22_contig_6816	11.796838	11.669766	33606	18.970438	0.8356867	31.603472	13.838624	13.684312	33606	25.032776	0.85928506	32.5276	13.843496	13.5892	33606	25.862398	0.8867639	33.362606
F6_S22_contig_6914	716.757	711.8248	25433	6100.411	50.6024	1913.651	813.09875	809.3511	25433	5057.3545	50.38767	1907.387	810.5946	807.0662	25433	6069.378	51.679363	1944.326
F6_S22_contig_7158	11.824318	11.650774	21262	20.54442	0.84135836	31.817974	12.442307	12.3300705	21262	19.455248	0.7790134	29.488985	12.868511	12.712241	21262	27.429918	0.8233832	30.978048
F6_S22_contig_7162	104.07924	104.077324	31030	318.8759	7.4030776	279.96494	109.88989	109.85255	31030	307.9439	6.8574653	259.58414	114.476746	114.353195	31030	377.41946	7.349194	276.49802
F6_S22_contig_7364	5.734885	5.599678	10504	7.7733283	0.399893	15.122901	6.314275	6.180794	10483	7.652791	0.39487717	14.947782	6.3048096	6.2860513	10485	6.81368	0.40555498	15.258149
F6_S22_contig_7376	26.564524	26.871363	11758	77.23025	1.8562331	70.19786	29.00448	29.259571	11758	75.519905	1.7740524	67.15545	29.183666	29.62519	11758	114.31877	1.8415004	69.28257
F6_S22_contig_7461	67.656746	63.001198	32619	1532.6943	4.736809	179.13364	74.89491	70.16603	32607	1706.018	4.60042	174.14546	74.50023	69.22431	32616	1903.6364	4.712601	177.30164
