Contig	F3_S19_subsampled_depth_15G_combined_mapped Mean	F3_S19_subsampled_depth_15G_combined_mapped Trimmed Mean	F3_S19_subsampled_depth_15G_combined_mapped Covered Bases	F3_S19_subsampled_depth_15G_combined_mapped Variance	F3_S19_subsampled_depth_15G_combined_mapped RPKM	F3_S19_subsampled_depth_15G_combined_mapped TPM	F4_S20_subsampled_depth_15G_combined_mapped Mean	F4_S20_subsampled_depth_15G_combined_mapped Trimmed Mean	F4_S20_subsampled_depth_15G_combined_mapped Covered Bases	F4_S20_subsampled_depth_15G_combined_mapped Variance	F4_S20_subsampled_depth_15G_combined_mapped RPKM	F4_S20_subsampled_depth_15G_combined_mapped TPM	F5_S21_subsampled_depth_15G_combined_mapped Mean	F5_S21_subsampled_depth_15G_combined_mapped Trimmed Mean	F5_S21_subsampled_depth_15G_combined_mapped Covered Bases	F5_S21_subsampled_depth_15G_combined_mapped Variance	F5_S21_subsampled_depth_15G_combined_mapped RPKM	F5_S21_subsampled_depth_15G_combined_mapped TPM	F6_S22_subsampled_depth_15G_combined_mapped Mean	F6_S22_subsampled_depth_15G_combined_mapped Trimmed Mean	F6_S22_subsampled_depth_15G_combined_mapped Covered Bases	F6_S22_subsampled_depth_15G_combined_mapped Variance	F6_S22_subsampled_depth_15G_combined_mapped RPKM	F6_S22_subsampled_depth_15G_combined_mapped TPM	F7_S23_subsampled_depth_15G_combined_mapped Mean	F7_S23_subsampled_depth_15G_combined_mapped Trimmed Mean	F7_S23_subsampled_depth_15G_combined_mapped Covered Bases	F7_S23_subsampled_depth_15G_combined_mapped Variance	F7_S23_subsampled_depth_15G_combined_mapped RPKM	F7_S23_subsampled_depth_15G_combined_mapped TPM	F8_S24_subsampled_depth_15G_combined_mapped Mean	F8_S24_subsampled_depth_15G_combined_mapped Trimmed Mean	F8_S24_subsampled_depth_15G_combined_mapped Covered Bases	F8_S24_subsampled_depth_15G_combined_mapped Variance	F8_S24_subsampled_depth_15G_combined_mapped RPKM	F8_S24_subsampled_depth_15G_combined_mapped TPM	GP3_S28_subsampled_depth_15G_combined_mapped Mean	GP3_S28_subsampled_depth_15G_combined_mapped Trimmed Mean	GP3_S28_subsampled_depth_15G_combined_mapped Covered Bases	GP3_S28_subsampled_depth_15G_combined_mapped Variance	GP3_S28_subsampled_depth_15G_combined_mapped RPKM	GP3_S28_subsampled_depth_15G_combined_mapped TPM	GP4_S29_subsampled_depth_15G_combined_mapped Mean	GP4_S29_subsampled_depth_15G_combined_mapped Trimmed Mean	GP4_S29_subsampled_depth_15G_combined_mapped Covered Bases	GP4_S29_subsampled_depth_15G_combined_mapped Variance	GP4_S29_subsampled_depth_15G_combined_mapped RPKM	GP4_S29_subsampled_depth_15G_combined_mapped TPM	GP5_S30_subsampled_depth_15G_combined_mapped Mean	GP5_S30_subsampled_depth_15G_combined_mapped Trimmed Mean	GP5_S30_subsampled_depth_15G_combined_mapped Covered Bases	GP5_S30_subsampled_depth_15G_combined_mapped Variance	GP5_S30_subsampled_depth_15G_combined_mapped RPKM	GP5_S30_subsampled_depth_15G_combined_mapped TPM	M1_S25_subsampled_depth_15G_combined_mapped Mean	M1_S25_subsampled_depth_15G_combined_mapped Trimmed Mean	M1_S25_subsampled_depth_15G_combined_mapped Covered Bases	M1_S25_subsampled_depth_15G_combined_mapped Variance	M1_S25_subsampled_depth_15G_combined_mapped RPKM	M1_S25_subsampled_depth_15G_combined_mapped TPM	M2_S26_subsampled_depth_15G_combined_mapped Mean	M2_S26_subsampled_depth_15G_combined_mapped Trimmed Mean	M2_S26_subsampled_depth_15G_combined_mapped Covered Bases	M2_S26_subsampled_depth_15G_combined_mapped Variance	M2_S26_subsampled_depth_15G_combined_mapped RPKM	M2_S26_subsampled_depth_15G_combined_mapped TPM	M3_S27_subsampled_depth_15G_combined_mapped Mean	M3_S27_subsampled_depth_15G_combined_mapped Trimmed Mean	M3_S27_subsampled_depth_15G_combined_mapped Covered Bases	M3_S27_subsampled_depth_15G_combined_mapped Variance	M3_S27_subsampled_depth_15G_combined_mapped RPKM	M3_S27_subsampled_depth_15G_combined_mapped TPM
F3_S19_subsampled_depth_15G_contig_120	15.624412	15.444719	37936	24.286503	1.4187042	45.830513	16.381676	16.249619	37936	23.516197	1.4859952	48.400944	16.892817	16.760498	37936	28.098385	1.5486394	50.511448	16.696077	16.527641	37930	25.036495	1.53395	52.471527	17.139603	16.99012	37936	23.469551	1.5636162	53.34416	17.362278	17.090508	37936	31.75747	1.5886034	54.01771	10.039671	9.787021	37882	23.582573	0.7689123	6.7755165	8.620865	8.427281	37880	16.6535	0.64028656	4.869357	9.668422	9.443249	37859	20.827007	0.7169446	5.623109	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_15G_contig_624	11118.896	11092.146	43261	1103093.5	1009.15674	32600.316	10765.584	10738.555	43261	1070304.3	976.61456	31809.725	10955.437	10928.244	43261	993324.2	1002.46136	32696.947	10120.066	10096.87	43261	806158.2	927.10596	31713.34	9515.654	9498.174	43261	713059.4	865.39233	29523.627	9869.339	9851.728	43261	794051.25	902.8527	30699.965	5413.102	5155.701	43261	6365644	411.95038	3630.0313	4600.8726	4376.7944	43261	4738166	339.9578	2585.3672	5292.023	5044.1226	43261	5527394	391.40494	3069.8513	19.980515	19.866112	43256	32.010136	36.222076	968.3568	22.611769	22.460993	43261	32.68511	39.309208	1044.1227	23.853008	23.749569	43261	29.500742	40.292263	1064.9915
F3_S19_subsampled_depth_15G_contig_679	340.19403	335.5234	40697	18507.828	30.87141	997.2856	337.80914	332.83014	40697	18820.252	30.647379	998.2286	341.57004	336.13754	40697	18995.79	31.247866	1019.201	490.4642	487.0886	40697	34535.445	44.926807	1536.8027	506.4843	503.40097	40697	35599.4	46.063187	1571.4865	505.97205	502.52722	40697	37112.984	46.296623	1574.2374	197.75854	186.04393	40697	12025.236	15.048607	132.6055	168.75093	158.24388	40697	8958.254	12.470387	94.83686	191.38713	180.24248	40697	10698.214	14.16169	111.07237	16.616617	16.228235	40601	59.08198	31.282248	836.29614	13.577034	13.268161	40498	40.244328	23.852795	633.57275	19.835402	19.69701	40508	68.80008	33.707497	890.94476
F3_S19_subsampled_depth_15G_contig_695	3942.1208	3924.1619	42821	493383.03	358.11823	11568.832	3940.7556	3921.778	42821	505080.1	357.82782	11654.959	3738.4368	3722.5566	42821	411411.84	342.35535	11166.492	3519.331	3497.7166	42821	369926.78	322.5911	11034.814	3568.599	3545.9875	42821	353228.13	324.72638	11078.326	3616.5781	3592.8118	42821	402661.94	331.0744	11257.614	151.53378	139.14275	42821	11952.085	11.519601	101.50861	142.38815	130.8174	42821	10456.586	10.509644	79.92548	191.53601	176.53223	42821	18246.797	14.150869	110.98745	6.180099	5.87374	42155	14.528355	12.196088	326.04886	6.551639	6.2683764	42350	15.5985	11.88767	315.7577	7.73066	7.430361	42712	19.354336	13.5806055	358.95795
F3_S19_subsampled_depth_15G_contig_814	5.9407916	5.6913366	20825	13.037463	0.5378183	17.373945	5.5692596	5.2587934	20127	16.81278	0.50702494	16.51452	5.514253	5.2530637	20179	16.299374	0.50682443	16.530924	5.660794	5.424585	20788	13.283079	0.51969355	17.777071	6.3469896	5.9007907	20877	19.747559	0.58192027	19.852722	6.385045	6.0602155	20447	20.022873	0.58436656	19.870377	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	4.1675024	3.9723592	20459	7.7289853	7.582623	202.71301	4.775868	4.551435	20714	8.735361	8.494991	225.64206	5.504035	5.4450636	20299	9.049345	9.3783865	247.8862
F3_S19_subsampled_depth_15G_contig_996	25.264723	25.167013	34877	40.551487	2.3254938	75.12394	24.710743	24.657335	34877	38.37548	2.2805848	74.28187	23.195986	22.9689	34877	41.00904	2.158286	70.396095	21.842802	21.647192	34877	32.03833	2.0366268	69.66652	22.136522	21.948616	34877	28.04295	2.0487654	69.89545	22.306995	22.120012	34877	38.254707	2.0750265	70.55774	2.3298874	2.0994081	26435	5.5084033	0.17753685	1.5644218	0	0	0	0	0	0	2.6803064	2.4595106	28927	5.744363	0.2032256	1.5939298	35.042877	16.671028	34057	8923.079	72.48868	1937.9034	36.909668	16.938633	34440	10568.52	74.59678	1981.4232	38.111874	18.0996	34871	10307.574	73.61088	1945.6571
F3_S19_subsampled_depth_15G_contig_1727	172.75069	173.81918	33272	477.8342	15.72509	507.9913	182.80644	184.21835	33277	458.4986	16.633854	541.78815	187.90047	189.1566	33275	442.67535	17.257063	562.8678	185.36557	186.40372	33275	491.26367	17.038649	582.83795	190.97069	192.37605	33277	467.11923	17.437124	594.88293	185.0851	186.14758	33276	474.20782	16.983217	577.4852	112.594986	105.065704	33275	2591.0684	8.623783	75.99121	98.022	93.13929	33277	1547.2906	7.282334	55.381878	104.61005	98.725075	33277	1812.8619	7.782888	61.04243	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
F3_S19_subsampled_depth_15G_contig_1753	25091.428	24470.475	95571	20020416	2280.004	73654.414	26021.746	25357.563	95571	22768188	2363.509	76982.84	26074.73	25334.992	95571	25354166	2388.901	77917.96	26956.143	26108.793	95571	33564664	2472.4102	84573.3	28209.822	27412.598	95571	31414720	2568.9316	87641.375	26768	25955.426	95571	31396070	2451.7969	83369.14	13306.895	13114.895	95571	11988091	1014.33954	8938.175	11685.095	11504.765	95571	8984177	864.9347	6577.7964	12912.666	12715.527	95571	10382117	956.6695	7503.3086	49.036827	48.161285	95571	150.01785	89.8402	2401.7766	51.33653	50.146603	95571	162.12564	89.36506	2373.6953	52.39658	51.318996	95571	152.78004	88.41474	2336.9482
F3_S19_subsampled_depth_15G_contig_2740	7606.547	7822.9297	13772	3926299.8	685.71136	22151.564	6894.9336	7081.4453	13772	3304263.5	621.1712	20232.428	7799.0884	8023.031	13766	3774341.5	708.7338	23116.535	7585.3696	7802.5903	13769	3617538	690.1413	23607.541	7927.5195	8153.2783	13757	3755663.8	716.2723	24436.262	8122.0303	8358.578	13772	3971065	737.9978	25094.354	7299.245	7041.0806	13644	32490724	552.0406	4864.4814	6248.2183	6022.151	13634	23941948	458.9058	3489.9617	7316.9995	7078.9414	13752	30788968	537.90356	4218.8604	11.258626	11.057014	13539	25.382416	20.556902	549.5658	11.740566	11.714355	13548	24.49153	20.247475	537.80927	14.175084	14.155057	13327	34.688164	23.718693	626.92426
F3_S19_subsampled_depth_15G_contig_2855	38.75789	36.57687	23218	727.6615	3.55867	114.96105	36.729927	34.597054	23205	642.7632	3.3733647	109.87523	37.8038	36.059967	23205	655.43195	3.502893	114.2527	51.74389	49.827713	23205	1466.62	4.7878895	163.77841	52.175827	50.01941	23205	1563.6096	4.7933474	163.52931	51.104385	49.024662	23205	1321.4773	4.7245035	160.64865	29.997269	29.771505	22933	206.31049	2.2759306	20.05508	25.340471	25.286871	23001	126.20336	1.8681216	14.207002	28.209122	28.157932	23132	183.58165	2.0772147	16.291918	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
