Assembly	F3_S19_FilteredContigs	F4_S20_FilteredContigs	F5_S21_FilteredContigs	F6_S22_FilteredContigs	F7_S23_FilteredContigs	F8_S24_FilteredContigs	GP3_S28_FilteredContigs	GP4_S29_FilteredContigs	GP5_S30_FilteredContigs	J1_S17_FilteredContigs	J2_S18_FilteredContigs	M1_S25_FilteredContigs	M2_S26_FilteredContigs	M3_S27_FilteredContigs
# contigs (>= 0 bp)	244	230	243	235	252	238	133	127	136	3653	3828	220	200	222
# contigs (>= 1000 bp)	244	230	243	235	252	238	133	127	136	3653	3828	220	200	222
# contigs (>= 5000 bp)	237	226	235	231	244	234	117	107	113	3651	3824	220	200	221
# contigs (>= 10000 bp)	234	223	231	229	241	231	110	99	109	3650	3824	219	200	221
# contigs (>= 25000 bp)	109	107	108	115	111	107	56	51	52	1038	1140	77	78	80
# contigs (>= 50000 bp)	22	21	22	20	19	20	13	13	12	271	357	15	15	17
Total length (>= 0 bp)	6758676	6522738	6709593	6671085	6853216	6631399	3384541	3194842	3297251	88815084	95737119	5482759	5126748	5664932
Total length (>= 1000 bp)	6758676	6522738	6709593	6671085	6853216	6631399	3384541	3194842	3297251	88815084	95737119	5482759	5126748	5664932
Total length (>= 5000 bp)	6738967	6513226	6697245	6658176	6837092	6626532	3340428	3152621	3241288	88810205	95723173	5482759	5126748	5661985
Total length (>= 10000 bp)	6719779	6493099	6672645	6644048	6816604	6605928	3297778	3102994	3217534	88801405	95723173	5476162	5126748	5661985
Total length (>= 25000 bp)	4730306	4656761	4727892	4913905	4803769	4619818	2498690	2352906	2365210	49892594	55520005	3276668	3216353	3478983
Total length (>= 50000 bp)	1528493	1452144	1536672	1430980	1356252	1438802	893479	936481	863227	22577772	27637808	1040704	1001992	1182543
# contigs	244	230	243	235	252	238	133	127	136	3653	3828	220	200	222
Largest contig	125472	125472	125472	127467	125472	125472	125442	125472	125109	490275	357576	147851	106443	179504
Total length	6758676	6522738	6709593	6671085	6853216	6631399	3384541	3194842	3297251	88815084	95737119	5482759	5126748	5664932
GC (%)	46.33	46.30	46.20	46.28	46.24	46.19	42.95	42.85	43.13	58.57	60.17	46.07	46.15	46.63
N50	37762	38504	37936	37683	37683	35386	39175	40626	39716	29435	31353	31813	31876	33463
N90	13914	13997	13997	13624	13254	14082	12666	13799	12564	12087	12293	12668	13313	12545
auN	40092.6	40541.6	40501.5	41076.4	39646.3	40107.3	41962.7	43937.4	42633.3	47615.1	44588.9	36684.1	35728.6	38922.5
L50	66	64	65	65	68	66	32	29	31	836	865	59	56	59
L90	181	171	178	174	186	179	88	80	87	2840	2960	172	156	171
# N's per 100 kbp	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00	0.00
