panel	measure	k_groups	df1	df2	F	p_value	F_formatted	p_formatted
Fig1c_Assembled_vOTUs	Assembled vOTUs	4	3	8	101.16542155816408	1.0595957069762716e-6	F[3,8] = 101.165	p < 0.00001
Fig1d_Mapped_vOTUs	Mapped vOTUs	4	3	8	606.8678160919585	8.999554917728711e-10	F[3,8] = 606.868	p < 0.00001
Fig1e_Viral_Reads	Viral reads (%)	4	3	8	8108.269699618469	2.8749772662029276e-14	F[3,8] = 8108.270	p < 0.00001
Fig3b_Provirus_Proportion	Provirus Proportion (%)	4	3	8	251.71045320525	2.9596093046064308e-8	F[3,8] = 251.710	p < 0.00001
FigS2a_NumContigs	# contigs	4	3	8	977.8260142364306	1.345008717784992e-10	F[3,8] = 977.826	p < 0.00001
FigS2b_ViralContigs	Viral contigs	4	3	8	101.16542155816408	1.0595957069762716e-6	F[3,8] = 101.165	p < 0.00001
FigS2c_LargestContig	Largest contig (bp)	4	3	8	21.887609796467814	3.2712221407605983e-4	F[3,8] = 21.888	p = 0.000327
FigS2d_auN	auN	4	3	8	297.31582168775867	1.5312356041366872e-8	F[3,8] = 297.316	p < 0.00001
FigS2e_N50	N50	4	3	8	431.03451816311826	3.508667887581267e-9	F[3,8] = 431.035	p < 0.00001
FigS2f_L50	L50	4	3	8	138.5149291069759	3.1085393972384365e-7	F[3,8] = 138.515	p < 0.00001
FigS2g_TotalLength	Total length (bp)	4	3	8	1775.2234711310389	1.2447871885928834e-11	F[3,8] = 1775.223	p < 0.00001
FigS3a_Mapped_to_Assembled_Ratio	Mapped/Assembled	4	3	8	2.3049234032791195	0.15348559542443224	F[3,8] = 2.305	p = 0.153
FigS4a_Total_Reads	Total reads (millions)	4	3	8	4.930881102904731	0.03165017904701803	F[3,8] = 4.931	p = 0.0317
FigS4b_rRNA_Reads	rRNA reads (%)	4	3	8	992.9567901234565	1.2651127710108627e-10	F[3,8] = 992.957	p < 0.00001
FigS4c_Human_Reads	Human reads (%)	4	3	8	12.687220051612556	0.002077590173229135	F[3,8] = 12.687	p = 0.00208
FigS4d_UniqueKmers	Unique kmers	4	3	8	49.778916723363146	1.611084024800434e-5	F[3,8] = 49.779	p = 1.61e-05
FigS6a_Moron_AMG_HostTakeover	Moron/AMG/host takeover (%)	4	3	8	26.332451741621096	1.6936729710359907e-4	F[3,8] = 26.332	p = 0.000169
FigS6b_Defense	Defense systems (%)	4	3	8	129.6794871794875	4.023470480207444e-7	F[3,8] = 129.679	p < 0.00001
FigS6c_Antidefense	Antidefense systems (%)	4	3	8	34.518518518518576	6.319138911129464e-5	F[3,8] = 34.519	p = 6.32e-05
FigS7b_UHGV_Percentage	% contigs in UHGV clusters	4	3	8	21.260696355793534	3.623231237881162e-4	F[3,8] = 21.261	p = 0.000362
FigS7c_UHGV_Mapping_Counts	UHGV mapping count	4	3	8	153.56662239929116	2.0744131006027145e-7	F[3,8] = 153.567	p < 0.00001
FigS7d_UHGV_MappingOnly_Counts	UHGV mapping-only count	4	3	8	112.07780725022027	7.111682765888386e-7	F[3,8] = 112.078	p < 0.00001
