panel	measure	contrast	group1	group2	diff	lwr	upr	p_adj	p_formatted
Fig1c_Assembled_vOTUs	Assembled vOTUs	DNase Treated Virome-Untreated Virome	DNase Treated Virome-Untreated Virome	NA	-2.666666666666657	-25.771487819896198	20.438154486562883	0.9815499896911042	p = 0.982
Fig1c_Assembled_vOTUs	Assembled vOTUs	MDA Virome-DNase Treated Virome	MDA Virome-DNase Treated Virome	NA	-107.00000000000003	-130.10482115322958	-83.89517884677049	2.0331110873739178e-6	p < 0.00001
Fig1c_Assembled_vOTUs	Assembled vOTUs	MDA Virome-Untreated Virome	MDA Virome-Untreated Virome	NA	-109.66666666666669	-132.77148781989624	-86.56184551343715	1.6830774537401894e-6	p < 0.00001
Fig1c_Assembled_vOTUs	Assembled vOTUs	Meta genome-DNase Treated Virome	Meta genome-DNase Treated Virome	NA	-25	-48.10482115322954	-1.8951788467704596	0.03461611213456384	p = 0.0346
Fig1c_Assembled_vOTUs	Assembled vOTUs	Meta genome-MDA Virome	Meta genome-MDA Virome	NA	82.00000000000003	58.89517884677049	105.10482115322957	1.5181785650297819e-5	p = 1.52e-05
Fig1c_Assembled_vOTUs	Assembled vOTUs	Meta genome-Untreated Virome	Meta genome-Untreated Virome	NA	-27.666666666666657	-50.771487819896194	-4.561845513437117	0.020818367407097416	p = 0.0208
Fig1d_Mapped_vOTUs	Mapped vOTUs	DNase Treated Virome-Untreated Virome	DNase Treated Virome-Untreated Virome	NA	-2.666666666666572	-18.925590852163417	13.592257518830273	0.9505654799870287	p = 0.951
Fig1d_Mapped_vOTUs	Mapped vOTUs	MDA Virome-DNase Treated Virome	MDA Virome-DNase Treated Virome	NA	-183.66666666666674	-199.9255908521636	-167.4077424811699	3.5488508798309226e-9	p < 0.00001
Fig1d_Mapped_vOTUs	Mapped vOTUs	MDA Virome-Untreated Virome	MDA Virome-Untreated Virome	NA	-186.33333333333331	-202.59225751883017	-170.07440914783646	3.194715048060459e-9	p < 0.00001
Fig1d_Mapped_vOTUs	Mapped vOTUs	Meta genome-DNase Treated Virome	Meta genome-DNase Treated Virome	NA	-31.000000000000114	-47.25892418549696	-14.741075814503269	0.0012959522739666163	p = 0.0013
Fig1d_Mapped_vOTUs	Mapped vOTUs	Meta genome-MDA Virome	Meta genome-MDA Virome	NA	152.66666666666663	136.40774248116978	168.92559085216348	1.073975319787479e-8	p < 0.00001
Fig1d_Mapped_vOTUs	Mapped vOTUs	Meta genome-Untreated Virome	Meta genome-Untreated Virome	NA	-33.666666666666686	-49.92559085216353	-17.40774248116984	7.449460343030845e-4	p = 0.000745
Fig1e_Viral_Reads	Viral reads (%)	DNase Treated Virome-Untreated Virome	DNase Treated Virome-Untreated Virome	NA	0.37743826457209195	-1.5582802354626513	2.313156764606835	0.9213562315461807	p = 0.921
Fig1e_Viral_Reads	Viral reads (%)	MDA Virome-DNase Treated Virome	MDA Virome-DNase Treated Virome	NA	16.207201453131603	14.271482953096859	18.142919953166345	1.8639383481122707e-8	p < 0.00001
Fig1e_Viral_Reads	Viral reads (%)	MDA Virome-Untreated Virome	MDA Virome-Untreated Virome	NA	16.584639717703695	14.648921217668951	18.520358217738437	1.6685711146102733e-8	p < 0.00001
Fig1e_Viral_Reads	Viral reads (%)	Meta genome-DNase Treated Virome	Meta genome-DNase Treated Virome	NA	-70.13009589893736	-72.0658143989721	-68.19437739890262	5.162537064506978e-14	p < 0.00001
Fig1e_Viral_Reads	Viral reads (%)	Meta genome-MDA Virome	Meta genome-MDA Virome	NA	-86.33729735206896	-88.2730158521037	-84.40157885203422	5.162537064506978e-14	p < 0.00001
Fig1e_Viral_Reads	Viral reads (%)	Meta genome-Untreated Virome	Meta genome-Untreated Virome	NA	-69.75265763436526	-71.6883761344	-67.816939134330525	5.162537064506978e-14	p < 0.00001
Fig3b_Provirus_Proportion	Provirus proportion (%)	MDA Virome-DNase Treated Virome	MDA Virome-DNase Treated Virome	NA	-13.275882742085859	-16.461775390495216	-10.089990093676501	4.522547617402672e-6	p < 0.00001
Fig3b_Provirus_Proportion	Provirus proportion (%)	MDA Virome-Untreated Virome	MDA Virome-Untreated Virome	NA	-12.691344576476535	-15.877237224885892	-9.505451928067178	6.352122682851125e-6	p < 0.00001
Fig3b_Provirus_Proportion	Provirus proportion (%)	Meta genome-DNase Treated Virome	Meta genome-DNase Treated Virome	NA	14.039648668999082	10.853756020589724	17.22554131740844	2.964505870894918e-6	p < 0.00001
Fig3b_Provirus_Proportion	Provirus proportion (%)	Meta genome-MDA Virome	Meta genome-MDA Virome	NA	27.31553141108494	24.129638762675583	30.501424059494298	1.662827864290506e-8	p < 0.00001
Fig3b_Provirus_Proportion	Provirus proportion (%)	Meta genome-Untreated Virome	Meta genome-Untreated Virome	NA	14.624186834608405	11.438294186199048	17.810079483017763	2.1750879440896043e-6	p < 0.00001
Fig3b_Provirus_Proportion	Provirus proportion (%)	Untreated Virome-DNase Treated Virome	Untreated Virome-DNase Treated Virome	NA	-0.5845381656093238	-3.7704308140186806	2.601354482800033	0.9330682804388029	p = 0.933
FigS2a_NumContigs	# contigs	DNase Treated Virome-Untreated Virome	DNase Treated Virome-Untreated Virome	NA	-810.3333333333321	-3268.8408167630896	1648.1741500964254	0.7239067264353538	p = 0.724
FigS2a_NumContigs	# contigs	MDA Virome-DNase Treated Virome	MDA Virome-DNase Treated Virome	NA	-9595.000000000004	-12053.507483429761	-7136.492516570246	7.414971206931575e-6	p < 0.00001
FigS2a_NumContigs	# contigs	MDA Virome-Untreated Virome	MDA Virome-Untreated Virome	NA	-10405.333333333336	-12863.840816763093	-7946.825849903578	4.0220008724611844e-6	p < 0.00001
FigS2a_NumContigs	# contigs	Meta genome-DNase Treated Virome	Meta genome-DNase Treated Virome	NA	29680.33333333334	27221.82584990358	32138.8408167631	2.1271661099220296e-9	p < 0.00001
FigS2a_NumContigs	# contigs	Meta genome-MDA Virome	Meta genome-MDA Virome	NA	39275.33333333334	36816.82584990359	41733.8408167631	9.484646401602959e-11	p < 0.00001
FigS2a_NumContigs	# contigs	Meta genome-Untreated Virome	Meta genome-Untreated Virome	NA	28870.000000000007	26411.49251657025	31328.507483429763	2.6553935716933097e-9	p < 0.00001
FigS2b_ViralContigs	Viral contigs	DNase Treated Virome-Untreated Virome	DNase Treated Virome-Untreated Virome	NA	-2.666666666666657	-25.771487819896198	20.438154486562883	0.9815499896911042	p = 0.982
FigS2b_ViralContigs	Viral contigs	MDA Virome-DNase Treated Virome	MDA Virome-DNase Treated Virome	NA	-107.00000000000003	-130.10482115322958	-83.89517884677049	2.0331110873739178e-6	p < 0.00001
FigS2b_ViralContigs	Viral contigs	MDA Virome-Untreated Virome	MDA Virome-Untreated Virome	NA	-109.66666666666669	-132.77148781989624	-86.56184551343715	1.6830774537401894e-6	p < 0.00001
FigS2b_ViralContigs	Viral contigs	Meta genome-DNase Treated Virome	Meta genome-DNase Treated Virome	NA	-25	-48.10482115322954	-1.8951788467704596	0.03461611213456384	p = 0.0346
FigS2b_ViralContigs	Viral contigs	Meta genome-MDA Virome	Meta genome-MDA Virome	NA	82.00000000000003	58.89517884677049	105.10482115322957	1.5181785650297819e-5	p = 1.52e-05
FigS2b_ViralContigs	Viral contigs	Meta genome-Untreated Virome	Meta genome-Untreated Virome	NA	-27.666666666666657	-50.771487819896194	-4.561845513437117	0.020818367407097416	p = 0.0208
FigS2c_LargestContig	Largest contig (bp)	DNase Treated Virome-Untreated Virome	DNase Treated Virome-Untreated Virome	NA	223596.66666666663	15956.399011430127	431236.93432190316	0.035424536793200345	p = 0.0354
FigS2c_LargestContig	Largest contig (bp)	MDA Virome-DNase Treated Virome	MDA Virome-DNase Treated Virome	NA	-470900.66666666674	-678540.9343219033	-263260.3990114302	3.981147536149532e-4	p = 0.000398
FigS2c_LargestContig	Largest contig (bp)	MDA Virome-Untreated Virome	MDA Virome-Untreated Virome	NA	-247304.00000000012	-454944.26765523665	-39663.732344763615	0.021408428152747128	p = 0.0214
FigS2c_LargestContig	Largest contig (bp)	Meta genome-DNase Treated Virome	Meta genome-DNase Treated Virome	NA	-41541.33333333337	-249181.60098856987	166098.93432190313	0.9158728103006939	p = 0.916
FigS2c_LargestContig	Largest contig (bp)	Meta genome-MDA Virome	Meta genome-MDA Virome	NA	429359.3333333334	221719.06567809687	636999.6009885699	7.519617819994329e-4	p = 0.000752
FigS2c_LargestContig	Largest contig (bp)	Meta genome-Untreated Virome	Meta genome-Untreated Virome	NA	182055.33333333326	-25584.934321903245	389695.6009885698	0.08726709602137728	p = 0.0873
FigS2d_auN	auN	DNase Treated Virome-Untreated Virome	DNase Treated Virome-Untreated Virome	NA	-1334.166666666657	-8103.877774124564	5435.54444079125	0.9191195773436263	p = 0.919
FigS2d_auN	auN	MDA Virome-DNase Treated Virome	MDA Virome-DNase Treated Virome	NA	-51304.8	-58074.51110745791	-44535.088892542095	3.231500456113423e-8	p < 0.00001
FigS2d_auN	auN	MDA Virome-Untreated Virome	MDA Virome-Untreated Virome	NA	-52638.96666666666	-59408.67777412457	-45869.25555920875	2.758734607422042e-8	p < 0.00001
FigS2d_auN	auN	Meta genome-DNase Treated Virome	Meta genome-DNase Treated Virome	NA	-681.4333333333489	-7451.144440791256	6088.277774124558	0.9875580835936646	p = 0.988
FigS2d_auN	auN	Meta genome-MDA Virome	Meta genome-MDA Virome	NA	50623.366666666654	43853.655559208746	57393.07777412456	3.5296842892940106e-8	p < 0.00001
FigS2d_auN	auN	Meta genome-Untreated Virome	Meta genome-Untreated Virome	NA	-2015.6000000000058	-8785.311107457914	4754.111107457901	0.7782728582450824	p = 0.778
FigS2e_N50	N50	DNase Treated Virome-Untreated Virome	DNase Treated Virome-Untreated Virome	NA	-2402	-5680.625768979571	876.6257689795711	0.1662715591661642	p = 0.166
