ID	length	phrog	annot	category	mmseqs_phrog	mmseqs_alnScore	mmseqs_seqIdentity	mmseqs_eVal	mmseqs_top_hit	pyhmmer_phrog	pyhmmer_bitscore	pyhmmer_evalue	color	vfdb_hit	vfdb_alnScore	vfdb_seqIdentity	vfdb_eVal	vfdb_species	vfdb_short_name	vfdb_description	CARD_hit	CARD_alnScore	CARD_seqIdentity	CARD_eVal	CARD_species	ARO_Accession	CARD_short_name	Protein_Accession	DNA_Accession	AMR_Gene_Family	Drug_Class	Resistance_Mechanism
F3_S19_contig_115_1	87	17162	hypothetical protein	unknown function	17162	141	0.848	5.043999999999999e-41	p331326 VI_04001	17162	134.608688	2.1357771118487346e-39	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_115_2	104	40	head-tail adaptor Ad1	connector	40	72	0.407	2.308e-16	KY653124_p48	40	73.463715	3.0848688336043894e-20	#35d7ff	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_115_3	111	25	head closure Hc1	connector	25	69	0.385	1.961e-15	p259995 VI_06031	25	78.27581	1.942116769231469e-21	#35d7ff	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_115_4	144	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_115_5	114	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_115_6	204	88	major tail protein	tail	88	116	0.351	1.2310000000000001e-28	p59492 VI_05469	88	177.697906	6.528372948616256e-52	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_115_7	127	2115	tail protein	tail	2115	148	0.6	1.2960000000000001e-42	p265478 VI_01229	2115	97.142052	1.8606397967783866e-27	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_115_8	890	23464	hypothetical protein	unknown function	23464	242	0.577	3.037e-68	p374888 VI_01126	23464	333.320862	5.354161336327279e-99	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_115_9	256	202	distal tail protein Dit	tail	202	64	0.295	6.542e-11	NC_028990_p16	33	108.023003	1.3205840674415863e-30	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_115_10	841	3475	minor tail protein	tail	3475	1141	0.683	0.0	MG839023_p19	3475	1207.783936	0.0	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_115_11	65	3473	hypothetical protein	unknown function	3473	95	0.728	2.222e-25	KY565347_p24	3473	86.828094	1.6459353504495993e-24	#c9c9c9	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_115_12	193	12827	tail protein	tail	12827	261	0.719	6.971e-81	p182883 VI_06211	12827	266.697693	2.3443680262591827e-79	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_115_13	825	3432	minor tail protein	tail	3432	809	0.533	2.652e-260	MG962367_p23	3432	1121.640991	0.0	#07e9a2	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_115_14	22	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_1	132	No_PHROG	hypothetical protein	unknown function	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs	No_MMseqs_PHROG_hit	No_PHROGs_HMM	No_PHROGs_HMM	No_PHROGs_HMM	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
F3_S19_contig_183_2	556	9	terminase large subunit	head and packaging	9	138	0.28	4.088e-34	NC_023862_p15	9	324.65802	3.912395105474726e-96	#3e83f6	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None	None
