"uhgv_genome","uhgv_votu","genome_length","is_jumbo_phage","gc_percent","cds_count","cds_density","avg_cds_length","cds_strand_switch_rate","genetic_code","is_recoded","trna_count_total","trna_count_suppressor","checkv_quality","checkv_completeness","checkv_completeness_method","checkv_trimmed","viral_confidence","genomad_virus_score","genomad_virus_hallmarks","genomad_plasmid_hallmarks","viralverify_prediction","viralverify_score","checkv_viral_markers","checkv_host_markers","uhgv_taxonomy","ictv_taxonomy","ictv_taxonomy_method","ictv_taxonomy_evidence","realm_name","kingdom_name","phylum_name","class_name","order_name","family_name","subfamily_name","genus_name","taxon_alias","crispr_host_lineage_gtdb_r207","crispr_total_connections","crispr_host_agreement","kmers_host_lineage_gtdb_r207","kmers_total_connections","kmers_host_agreement","host_lineage_gtdb_r207","host_prediction_method","crispr_host_range_genus_entropy","kmers_host_range_genus_entropy","crispr_host_range_red","kmers_host_range_red","bacphlip_temperate_score","bacphlip_virulent_score","has_integrase","lifestyle","lifestyle_evidence","dgr_present","anticrispr_num_genes","abricate_num_genes","http_url","MappedOnlyUHGV"
"UHGV-1566328","vOTU-125782",16295,"No",45.78,23,95.61,677.348,0,11,"No",0,0,"Low-quality","42.31","AAI-based","No","Confident",0.9821,7,0,"Virus","18.27",12,0,"vFAM-00035;vSUBFAM-00161;vGENUS-00201;vOTU-125782","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=MN882550; proteomic-score=0.072; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","688","99.42","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","115","89.57","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae","CRISPR","1.96623","3.07881","NULL","NULL",0.127478,0.872522,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-156/UHGV-1566328",TRUE
"UHGV-1915498","vOTU-014231",5337,"No",53.12,5,91.91,981,25,11,"No",0,0,"High-quality","99.9","HMM-based","No","Confident",0.8127,0,0,"Virus","18.33",1,1,"vFAM-00072;vSUBFAM-01723;vGENUS-07389;vSUBGEN-05470;vOTU-014231","root;Monodnaviria;Shotokuvirae;Cressdnaviricota;Arfiviricetes;Cirlivirales;Circoviridae","geNomad-markers","gene-hits=2; agreement=0.6944","Monodnaviria","Shotokuvirae","Cressdnaviricota","Arfiviricetes","Cirlivirales","Circoviridae","NULL","NULL","Cressdnaviricota","d__Bacteria;p__Proteobacteria;c__Gammaproteobacteria","2","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","131","81.68","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","PHIST","0.693147","0.848877","0.357885","0.0",0.8375,0.1625,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-191/UHGV-1915498",TRUE
"UHGV-0386601","vOTU-007954",35396,"No",48.95,50,91.67,648.96,10.2,11,"No",0,0,"High-quality","97.4","AAI-based","No","Confident",0.9796,12,0,"Virus","48.26",13,2,"vFAM-00134;vSUBFAM-00432;vGENUS-09890;vSUBGEN-12264;vOTU-007954","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=MG711460; proteomic-score=0.298; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp900066775","124","95.16","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp900066775","49","89.8","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Lachnospirales;f__Lachnospiraceae;g__Eisenbergiella;s__Eisenbergiella sp900066775","CRISPR","0.233865","0.395906","0.0","0.0",1,0,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-038/UHGV-0386601",FALSE
"UHGV-2133807","vOTU-010352",45247,"No",51.23,48,89.82,846.688,12.77,11,"No",1,0,"High-quality","99.88","AAI-based","No","Confident",0.9754,13,0,"Virus","12",7,5,"vFAM-00066;vSUBFAM-00132;vGENUS-01098;vSUBGEN-01604;vOTU-010352","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=39; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae","817","96.45","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales","186","98.92","d__Bacteria;p__Bacteroidota;c__Bacteroidia;o__Bacteroidales;f__Tannerellaceae;g__Parabacteroides;s__Parabacteroides merdae","CRISPR","0.141736","1.05687","0.0","0.072438",0.1125,0.8875,"No","lytic","BACPHLIP","Yes",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-213/UHGV-2133807",FALSE
"UHGV-1387900","vOTU-103786",31413,"No",34.66,40,95,746.025,0,11,"No",0,0,"Medium-quality","52.5","AAI-based","No","Confident",0.9815,3,0,"Uncertain - viral or bacterial","3.85",16,0,"vFAM-00017;vOTU-103786","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=MK779875; proteomic-score=0.152; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis","1","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Tissierellales;f__Peptoniphilaceae;g__Finegoldia;s__Finegoldia magna","1","100","d__Bacteria;p__Firmicutes;c__Bacilli;o__Lactobacillales;f__Enterococcaceae;g__Enterococcus;s__Enterococcus faecalis","CRISPR","0.0","0.0","0.0","0.0",0.0644554,0.935545,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-138/UHGV-1387900",FALSE
"UHGV-0043775","vOTU-059732",37927,"No",36.28,59,92.59,595.22,1.72,11,"No",1,0,"High-quality","92.51","AAI-based","No","Confident",0.9768,8,0,"Virus","43.77",25,1,"vFAM-00003;vSUBFAM-00799;vGENUS-05164;vSUBGEN-03198;vOTU-059732","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=31; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Longicatena;s__Longicatena caecimuris","74","100","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Longicatena;s__Longicatena caecimuris","42","97.62","d__Bacteria;p__Firmicutes;c__Bacilli;o__Erysipelotrichales;f__Erysipelotrichaceae;g__Longicatena;s__Longicatena caecimuris","CRISPR","0.0","0.112516","0.0","0.0",0.0893172,0.910683,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-004/UHGV-0043775",FALSE
"UHGV-0152472","vOTU-019513",12288,"No",58.06,12,90.26,924.25,18.18,11,"No",0,0,"Low-quality","31.57","AAI-based","No","Uncertain",0.8963,3,0,"Uncertain - plasmid or chromosomal","-1.2",3,2,"vFAM-00001;vOTU-019513","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=KM236247; proteomic-score=0.059; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens","820","99.39","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Butyricicoccaceae;g__Agathobaculum;s__Agathobaculum butyriciproducens","PHIST","NULL","0.0265075","NULL","NULL",0.0550101,0.94499,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-015/UHGV-0152472",TRUE
"UHGV-0392313","vOTU-073474",38805,"No",61.98,43,95.16,858.767,4.76,11,"No",0,0,"High-quality","90.56","AAI-based","No","Confident",0.9735,5,0,"Virus","36.71",12,0,"vFAM-00005;vSUBFAM-02939;vGENUS-03926;vSUBGEN-43455;vOTU-073474","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","top-genome-hit","accession=AY954954; proteomic-score=0.082; lca-rank=family","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","168","97.62","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","18","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales;f__Oscillospiraceae;g__Flavonifractor;s__Flavonifractor plautii","CRISPR","0.100944","0.0","0.0","0.0",1,0,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-039/UHGV-0392313",FALSE
"UHGV-1287973","vOTU-000875",43389,"No",47.18,44,93.21,919.159,17.39,11,"No",0,0,"Complete","100","DTR","No","Confident",0.9642,5,0,"Virus","17.47",10,0,"vFAM-00005;vSUBFAM-08433;vGENUS-23546;vSUBGEN-46218;vOTU-000875","root;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes","geNomad-markers","gene-hits=22; agreement=1","Duplodnaviria","Heunggongvirae","Uroviricota","Caudoviricetes","NULL","NULL","NULL","NULL","Caudovirales","NULL","NULL","NULL","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","3","100","d__Bacteria;p__Firmicutes_A;c__Clostridia;o__Oscillospirales","PHIST","NULL","0.636514","NULL","0.156831",0.9875,0.0125,"No","temperate","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-128/UHGV-1287973",FALSE
"UHGV-0684615","vOTU-000873",2191,"No",51.8,4,84.89,465,66.67,11,"No",0,0,"Complete","100","DTR","No","Confident",0.9676,1,0,"Virus","7.24",2,0,"vFAM-00122;vSUBFAM-01004;vGENUS-04166;vSUBGEN-02303;vOTU-000873","root;Monodnaviria;Shotokuvirae;Cressdnaviricota;Repensiviricetes;Geplafuvirales;Genomoviridae","geNomad-markers","gene-hits=2; agreement=1","Monodnaviria","Shotokuvirae","Cressdnaviricota","Repensiviricetes","Geplafuvirales","Genomoviridae","NULL","NULL","Cressdnaviricota","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL","NULL",0.00270138,0.997299,"No","lytic","BACPHLIP","No",0,0,"https://portal.nersc.gov/UHGV/votu_reps/UHGV-068/UHGV-0684615",FALSE
