seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
F8_S24_contig_1731	9881	No terminal repeats	NA	7	11	0.9991	0.0009	1	11.9003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_10140	5134	No terminal repeats	NA	8	11	0.9991	0.0009	6	13.3107	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_1677	7056	No terminal repeats	NA	8	11	0.9991	0.0009	1	13.2810	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_8394	6902	No terminal repeats	NA	8	11	0.9991	0.0009	2	11.1029	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_4772	6845	No terminal repeats	NA	11	11	0.9991	0.0009	1	14.4821	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
F8_S24_contig_14743	17034	No terminal repeats	NA	24	11	0.9991	0.0009	4	36.4810	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_6888	12773	No terminal repeats	NA	17	11	0.9991	0.0009	8	24.4678	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_2849	7039	No terminal repeats	NA	8	11	0.9991	0.0009	2	10.7485	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_273	5712	No terminal repeats	NA	10	11	0.9991	0.0009	5	16.3453	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_884	31106	No terminal repeats	NA	39	11	0.9991	0.0009	19	57.7934	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_985	5884	No terminal repeats	NA	6	11	0.9991	0.0009	2	9.6149	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_4960	6691	DTR	NA	9	11	0.9991	0.0009	1	13.1845	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
F8_S24_contig_5420	19591	No terminal repeats	NA	32	11	0.9991	0.0009	6	43.5232	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_14748	3848	No terminal repeats	NA	5	11	0.9991	0.0009	0	7.7270	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_6026	20134	No terminal repeats	NA	18	11	0.9991	0.0009	5	27.0495	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_1876	8415	No terminal repeats	NA	11	11	0.9991	0.0009	2	17.7003	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_2961	11947	No terminal repeats	NA	16	11	0.9991	0.0009	4	22.1977	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_15398	6910	No terminal repeats	NA	9	11	0.9991	0.0009	6	15.0974	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_4420	6741	No terminal repeats	NA	12	11	0.9991	0.0009	4	17.4479	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_4247	9405	No terminal repeats	NA	12	11	0.9991	0.0009	6	19.3862	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_9246	17859	No terminal repeats	NA	22	11	0.9991	0.0009	8	32.1017	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_5241	12022	No terminal repeats	NA	13	11	0.9991	0.0009	9	18.9286	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_10929	6313	DTR	NA	7	11	0.9991	0.0009	1	8.4636	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
F8_S24_contig_11798	6908	No terminal repeats	NA	10	11	0.9991	0.0009	4	14.4609	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_13104	8326	No terminal repeats	NA	11	11	0.9991	0.0009	3	17.9142	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_10300|provirus_98_23875	23778	Provirus	98-23875	32	11	0.9991	0.0009	11	34.9635	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_2480	4553	No terminal repeats	NA	9	11	0.9991	0.0009	6	12.8123	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_1066	83474	No terminal repeats	NA	73	11	0.9991	0.0009	7	93.6080	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
F8_S24_contig_4327	3825	No terminal repeats	NA	6	11	0.9991	0.0009	2	9.9195	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_7598	5661	No terminal repeats	NA	3	11	0.9991	0.0009	2	4.5894	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
F8_S24_contig_12438	7244	No terminal repeats	NA	12	11	0.9991	0.0009	2	14.9264	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
