seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
M3_S27_contig_9587	4966	No terminal repeats	NA	7	15	0.9992	0.0008	1	11.8515	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
M3_S27_contig_17387	7441	No terminal repeats	NA	10	11	0.9992	0.0008	6	15.7641	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_6989	23872	No terminal repeats	NA	31	11	0.9992	0.0008	15	47.3600	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_42616	4031	No terminal repeats	NA	6	11	0.9992	0.0008	4	9.7766	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_9730	11802	No terminal repeats	NA	16	11	0.9992	0.0008	8	23.5608	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_36398	5146	No terminal repeats	NA	7	11	0.9992	0.0008	3	11.3568	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_35727	18065	No terminal repeats	NA	24	11	0.9992	0.0008	8	34.7330	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_28654	4403	No terminal repeats	NA	5	11	0.9992	0.0008	2	7.8554	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_31022	8177	No terminal repeats	NA	9	15	0.9992	0.0008	0	11.6150	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_25222	3691	No terminal repeats	NA	6	11	0.9992	0.0008	0	10.1125	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_37176	15999	No terminal repeats	NA	22	11	0.9992	0.0008	6	35.3033	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_26552	4051	No terminal repeats	NA	8	11	0.9992	0.0008	2	10.9422	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_36188	22290	No terminal repeats	NA	27	11	0.9992	0.0008	10	42.4511	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_35797	11499	No terminal repeats	NA	24	11	0.9992	0.0008	0	29.9807	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_6353	11050	No terminal repeats	NA	15	11	0.9992	0.0008	9	22.1366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_26245	11200	No terminal repeats	NA	13	11	0.9992	0.0008	1	19.6317	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_24151	4072	No terminal repeats	NA	8	11	0.9992	0.0008	5	13.1110	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_32302	11375	No terminal repeats	NA	14	11	0.9992	0.0008	3	22.0581	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_35789	11376	No terminal repeats	NA	17	11	0.9992	0.0008	6	25.5719	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_4703|provirus_36829_60606	23778	Provirus	36829-60606	32	11	0.9992	0.0008	11	33.2452	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_6346	2468	No terminal repeats	NA	5	11	0.9992	0.0008	1	7.1121	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_27575	18764	No terminal repeats	NA	21	11	0.9992	0.0008	8	31.7346	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_22643|provirus_3_4847	4845	Provirus	3-4847	7	11	0.9992	0.0008	1	9.4787	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_5893|provirus_13495_43517	30023	Provirus	13495-43517	34	11	0.9992	0.0008	10	54.6614	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_40974	95571	DTR	NA	85	11	0.9992	0.0008	3	88.4701	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
M3_S27_contig_37280	17681	No terminal repeats	NA	25	11	0.9992	0.0008	4	25.0455	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_37700	4600	No terminal repeats	NA	11	11	0.9991	0.0008	6	16.9540	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_9595	7268	No terminal repeats	NA	9	15	0.9991	0.0008	2	9.8344	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
M3_S27_contig_2854	6492	No terminal repeats	NA	4	11	0.9991	0.0008	0	6.8687	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
