seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
GP3_S28_contig_245	6510	DTR	NA	9	11	0.9992	0.0008	1	14.9028	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
GP3_S28_contig_658	20162	No terminal repeats	NA	18	11	0.9992	0.0008	5	27.0495	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_5354	7483	DTR	NA	6	11	0.9992	0.0008	6	10.3097	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Zurhausenvirales;Papillomaviridae
GP3_S28_contig_1330	61920	No terminal repeats	NA	42	11	0.9992	0.0008	5	60.6319	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
GP3_S28_contig_1965	14340	No terminal repeats	NA	18	11	0.9992	0.0008	10	28.6757	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_4284	4136	No terminal repeats	NA	5	11	0.9992	0.0008	2	6.6788	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_1706	6756	No terminal repeats	NA	13	11	0.9992	0.0008	4	16.5334	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_4378	5687	No terminal repeats	NA	10	11	0.9992	0.0008	2	15.8487	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_971	6564	No terminal repeats	NA	7	11	0.9992	0.0008	1	11.9687	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_3262	7776	No terminal repeats	NA	11	11	0.9992	0.0008	2	16.2527	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_5261	50142	No terminal repeats	NA	76	11	0.9992	0.0008	6	118.9923	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_3604	8152	No terminal repeats	NA	3	11	0.9992	0.0008	0	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_1464	17089	No terminal repeats	NA	30	11	0.9992	0.0008	6	40.3461	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_1499	2977	No terminal repeats	NA	4	11	0.9992	0.0008	1	6.5483	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_5346	5399	DTR	NA	10	11	0.9992	0.0008	4	11.1776	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
GP3_S28_contig_5058	3186	No terminal repeats	NA	7	11	0.9992	0.0008	3	11.3460	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_3153	4295	No terminal repeats	NA	9	11	0.9992	0.0008	0	12.9393	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_3956	4083	No terminal repeats	NA	7	11	0.9992	0.0008	0	11.5569	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_676	95571	DTR	NA	85	11	0.9992	0.0008	3	86.7519	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Crassvirales
GP3_S28_contig_1828	6551	No terminal repeats	NA	5	11	0.9992	0.0008	3	7.8490	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_5343	5076	DTR	NA	5	11	0.9992	0.0008	3	6.8731	Viruses;Monodnaviria;Shotokuvirae;Cossaviricota;Papovaviricetes;Sepolyvirales;Polyomaviridae
GP3_S28_contig_4464	3154	No terminal repeats	NA	5	11	0.9992	0.0008	1	8.5914	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_2066	18312	No terminal repeats	NA	34	11	0.9992	0.0008	6	40.8183	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_1034	12666	No terminal repeats	NA	16	11	0.9992	0.0008	3	16.9353	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_4484	3974	No terminal repeats	NA	6	11	0.9992	0.0008	1	9.9033	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_2654	4838	No terminal repeats	NA	7	11	0.9992	0.0008	3	9.6499	Viruses;Monodnaviria;Sangervirae;Phixviricota;Malgrandaviricetes;Petitvirales;Microviridae
GP3_S28_contig_4677	21975	No terminal repeats	NA	39	11	0.9992	0.0008	5	59.7881	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
GP3_S28_contig_1512	41595	No terminal repeats	NA	63	11	0.9992	0.0008	14	69.2268	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
