Sample	Contig	Covered Fraction
aligned	UHGV-0405173	0
aligned	UHGV-0404930	0
aligned	UHGV-0151823	0
aligned	UHGV-1996471	0.0440625
aligned	UHGV-0131335	0
aligned	UHGV-0131330	0
aligned	UHGV-0193455	0
aligned	UHGV-0131337	0
aligned	UHGV-0404557	0
aligned	UHGV-0404555	0
aligned	UHGV-0404561	0
aligned	UHGV-0404559	0
aligned	UHGV-0460425	0
aligned	UHGV-0404562	0
aligned	UHGV-0404708	0
aligned	UHGV-1334520	0
aligned	UHGV-0345992	0
aligned	UHGV-0076714	0
aligned	UHGV-2169246	0
aligned	UHGV-1815722	0
aligned	UHGV-1345981	0
aligned	UHGV-1351248	0
aligned	UHGV-1414336	0
aligned	UHGV-0171255	0
aligned	UHGV-1540281	0.024981685
aligned	UHGV-1379267	0
aligned	UHGV-1439782	0
aligned	UHGV-1497742	0
aligned	UHGV-1379262	0
aligned	UHGV-1682639	0.08707865
aligned	UHGV-0420862	0
aligned	UHGV-1370302	0
aligned	UHGV-0078938	0
aligned	UHGV-0423558	0
aligned	UHGV-0420893	0
aligned	UHGV-0348898	0
aligned	UHGV-0341872	0
aligned	UHGV-2174339	0
aligned	UHGV-0348957	0
aligned	UHGV-0265680	0
aligned	UHGV-0266262	0
aligned	UHGV-0319023	0
aligned	UHGV-1684917	0
aligned	UHGV-0039940	0.01669683
aligned	UHGV-1395671	0
aligned	UHGV-1332770	0
aligned	UHGV-0135122	0
aligned	UHGV-1824712	0
aligned	UHGV-1466224	0
aligned	UHGV-0794736	0
aligned	UHGV-2156549	0.16394183
aligned	UHGV-1384412	0
aligned	UHGV-1376370	0
aligned	UHGV-0375193	0
aligned	UHGV-1379639	0
aligned	UHGV-0224705	0
aligned	UHGV-1364077	0
aligned	UHGV-0283885	0.06620551
aligned	UHGV-1273409	0
aligned	UHGV-1373997	0
aligned	UHGV-0378868	0
aligned	UHGV-0420844	0
aligned	UHGV-1594083	0
aligned	UHGV-0157271	0
aligned	UHGV-2058187	0
aligned	UHGV-0025358	0
aligned	UHGV-2087707	0
aligned	UHGV-0156616	0.037999116
aligned	UHGV-2057220	0
aligned	UHGV-0143567	0
aligned	UHGV-1871700	0
aligned	UHGV-0016043	0
aligned	UHGV-1430943	0
aligned	UHGV-0087181	0
aligned	UHGV-0016047	0
aligned	UHGV-2151888	0
aligned	UHGV-0157818	0
aligned	UHGV-0190423	0
aligned	UHGV-0390659	0
aligned	UHGV-2164233	0.04882207
aligned	UHGV-0107357	0.011723381
aligned	UHGV-0130362	0
aligned	UHGV-0041502	0.31897652
aligned	UHGV-0107355	0
aligned	UHGV-1644562	0
aligned	UHGV-1669612	0
aligned	UHGV-0169346	0
aligned	UHGV-1566328	0.7304081
aligned	UHGV-1623914	0
aligned	UHGV-0097953	0
aligned	UHGV-0323924	0
aligned	UHGV-1546616	0
aligned	UHGV-1910539	0
aligned	UHGV-0169336	0
aligned	UHGV-1687315	0
aligned	UHGV-1546612	0
aligned	UHGV-0120426	0
aligned	UHGV-1374768	0
aligned	UHGV-1375852	0
aligned	UHGV-1375855	0
aligned	UHGV-0327519	0.026120558
aligned	UHGV-0286217	0
aligned	UHGV-0120369	0
aligned	UHGV-0382430	0.05886232
aligned	UHGV-1375885	0
aligned	UHGV-0195171	0
aligned	UHGV-0085950	0
aligned	UHGV-0013864	0
aligned	UHGV-1986873	0.18064219
aligned	UHGV-0145234	0.11477629
aligned	UHGV-1345152	0
aligned	UHGV-0215087	0.04117932
aligned	UHGV-0241472	0
aligned	UHGV-0406744	0
aligned	UHGV-1363965	0
aligned	UHGV-1363925	0
aligned	UHGV-2007258	0
aligned	UHGV-1363906	0
aligned	UHGV-0318370	0
aligned	UHGV-1375084	0
aligned	UHGV-0131329	0
aligned	UHGV-1915498	0.97639126
aligned	UHGV-1919420	0.029686982
aligned	UHGV-2134673	0.16541487
aligned	UHGV-2133768	0.03037837
aligned	UHGV-1922335	0.022621423
aligned	UHGV-1938320	0
aligned	UHGV-2075247	0.14995186
aligned	UHGV-2232755	0.21444206
aligned	UHGV-1925127	0
aligned	UHGV-0201993	0
aligned	UHGV-2161681	0.011307311
aligned	UHGV-2124730	0
aligned	UHGV-0201994	0
aligned	UHGV-0201995	0
aligned	UHGV-0201996	0.13438359
aligned	UHGV-0154859	0
aligned	UHGV-0154857	0
aligned	UHGV-0166429	0
aligned	UHGV-1656210	0
aligned	UHGV-0286233	0
aligned	UHGV-0166426	0
aligned	UHGV-1603500	0.07404277
aligned	UHGV-0139921	0
aligned	UHGV-1313019	0
aligned	UHGV-0089260	0
aligned	UHGV-1568350	0
aligned	UHGV-1771526	0
aligned	UHGV-1467644	0
aligned	UHGV-0006542	0
aligned	UHGV-1353088	0
aligned	UHGV-1353092	0
aligned	UHGV-1353093	0
aligned	UHGV-1353094	0
aligned	UHGV-0115110	0
aligned	UHGV-1353126	0
aligned	UHGV-1353133	0
aligned	UHGV-1353135	0
aligned	UHGV-1353136	0
aligned	UHGV-1353140	0
aligned	UHGV-1790475	0
aligned	UHGV-1365586	0
aligned	UHGV-1764299	0
aligned	UHGV-1371304	0
aligned	UHGV-1371302	0
aligned	UHGV-1371306	0
aligned	UHGV-1371305	0
aligned	UHGV-1371283	0
aligned	UHGV-1371280	0
aligned	UHGV-1371295	0
aligned	UHGV-1371287	0
aligned	UHGV-1363839	0
aligned	UHGV-0439402	0
aligned	UHGV-1371310	0
aligned	UHGV-1371309	0
aligned	UHGV-0270821	0
aligned	UHGV-0113290	0
aligned	UHGV-1825670	0
aligned	UHGV-0007047	0
aligned	UHGV-0108456	0.030747272
aligned	UHGV-0131558	0
aligned	UHGV-1692963	0
aligned	UHGV-1368458	0
aligned	UHGV-1350454	0.13426101
aligned	UHGV-1814952	0.014347202
aligned	UHGV-1368382	0
aligned	UHGV-1368374	0
aligned	UHGV-0260596	0
aligned	UHGV-0260491	0
aligned	UHGV-1368444	0
aligned	UHGV-1368429	0
aligned	UHGV-1368425	0
aligned	UHGV-0257757	0
aligned	UHGV-2189137	0.12085555
aligned	UHGV-0143871	0.0369908
aligned	UHGV-1511909	0
aligned	UHGV-1961259	0.09867519
aligned	UHGV-1867315	0
aligned	UHGV-0112768	0
aligned	UHGV-2102494	0
aligned	UHGV-1838588	0
aligned	UHGV-0103750	0
aligned	UHGV-2141545	0
aligned	UHGV-1836304	0
aligned	UHGV-0134170	0
aligned	UHGV-0381345	0
aligned	UHGV-0173768	0
aligned	UHGV-0173762	0
aligned	UHGV-1532549	0
aligned	UHGV-0135127	0
aligned	UHGV-0079364	0
aligned	UHGV-0079369	0
aligned	UHGV-1668403	0
aligned	UHGV-0118081	0
aligned	UHGV-1555624	0
aligned	UHGV-0213495	0
aligned	UHGV-2013789	0
aligned	UHGV-2013786	0
aligned	UHGV-1696988	0
aligned	UHGV-0089103	0
aligned	UHGV-0380785	0
aligned	UHGV-0142711	0
aligned	UHGV-0074331	0
aligned	UHGV-0142710	0
aligned	UHGV-1956479	0
aligned	UHGV-0201974	0
aligned	UHGV-0266560	0.03168032
aligned	UHGV-1544420	0
aligned	UHGV-1529033	0
aligned	UHGV-0365849	0
aligned	UHGV-1687659	0
aligned	UHGV-1687650	0
aligned	UHGV-0360310	0
aligned	UHGV-1410673	0.07294262
aligned	UHGV-1777860	0
aligned	UHGV-0370929	0
aligned	UHGV-0383487	0
aligned	UHGV-0084976	0
aligned	UHGV-0365848	0
aligned	UHGV-1502670	0
aligned	UHGV-2124279	0
aligned	UHGV-1645336	0
aligned	UHGV-1684128	0
aligned	UHGV-1592616	0
aligned	UHGV-0042325	0
aligned	UHGV-1611929	0
aligned	UHGV-1516925	0
aligned	UHGV-0123047	0
aligned	UHGV-1467320	0
aligned	UHGV-0170416	0
aligned	UHGV-1516474	0
aligned	UHGV-2145928	0
aligned	UHGV-0131474	0
