seq_name	length	topology	coordinates	n_genes	genetic_code	virus_score	fdr	n_hallmarks	marker_enrichment	taxonomy
J2_S18_contig_12853	11812	No terminal repeats	NA	13	11	0.9998	0.0002	4	21.7070	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Herelleviridae
J2_S18_contig_3577	6223	No terminal repeats	NA	7	11	0.9998	0.0002	2	11.7975	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_117938	6276	No terminal repeats	NA	7	11	0.9998	0.0002	4	11.7348	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_57094	7634	No terminal repeats	NA	14	11	0.9998	0.0002	4	23.0480	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_114692	4311	No terminal repeats	NA	7	11	0.9998	0.0002	0	11.7090	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_91050	2959	No terminal repeats	NA	5	11	0.9998	0.0002	5	8.5898	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_7840	7044	No terminal repeats	NA	9	11	0.9998	0.0002	3	14.1886	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_77705	5868	No terminal repeats	NA	7	11	0.9998	0.0002	2	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_39264	4101	No terminal repeats	NA	6	11	0.9998	0.0002	4	9.7883	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_103536	7735	No terminal repeats	NA	8	11	0.9998	0.0002	6	11.8267	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_47082	7538	No terminal repeats	NA	7	11	0.9998	0.0002	6	10.9804	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_33888	6110	No terminal repeats	NA	9	11	0.9998	0.0002	4	14.6530	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_93816	3544	No terminal repeats	NA	4	11	0.9998	0.0002	1	6.5574	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_80740	2082	No terminal repeats	NA	4	11	0.9998	0.0002	1	6.4492	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_104054	7953	No terminal repeats	NA	8	11	0.9998	0.0002	1	11.6307	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_60584	7751	No terminal repeats	NA	7	11	0.9998	0.0002	2	11.2170	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_21031	6461	No terminal repeats	NA	8	11	0.9998	0.0002	4	12.7304	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_20127	7271	No terminal repeats	NA	13	11	0.9998	0.0002	2	15.6628	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_60835	6070	No terminal repeats	NA	7	11	0.9998	0.0002	0	10.3993	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_63428	6012	No terminal repeats	NA	8	11	0.9998	0.0002	3	12.6417	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_117598	4469	No terminal repeats	NA	7	11	0.9998	0.0002	1	11.4369	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_101528	3712	No terminal repeats	NA	4	11	0.9998	0.0002	3	6.8520	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_52524	4408	No terminal repeats	NA	5	11	0.9998	0.0002	1	8.2757	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_68714	4374	No terminal repeats	NA	5	11	0.9998	0.0002	2	8.3589	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_79259	5162	No terminal repeats	NA	5	11	0.9998	0.0002	1	8.3366	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_21521	6693	No terminal repeats	NA	11	11	0.9998	0.0002	6	17.2335	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_97527	2372	No terminal repeats	NA	7	11	0.9998	0.0002	1	10.4410	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_83595	5755	No terminal repeats	NA	9	11	0.9998	0.0002	6	13.5373	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_37793	7489	No terminal repeats	NA	12	11	0.9998	0.0002	2	14.8239	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_112684	6718	No terminal repeats	NA	10	11	0.9998	0.0002	5	14.3932	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_60014	4940	No terminal repeats	NA	6	11	0.9998	0.0002	4	8.3872	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_109083	6538	No terminal repeats	NA	10	11	0.9998	0.0002	3	16.1540	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_57160	6091	No terminal repeats	NA	10	11	0.9998	0.0002	3	13.0133	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_16072	5722	No terminal repeats	NA	6	11	0.9998	0.0002	2	9.4776	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_33778	3791	No terminal repeats	NA	6	11	0.9998	0.0002	1	9.3264	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_52711	4285	No terminal repeats	NA	7	11	0.9998	0.0002	3	10.0233	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_53335	4253	No terminal repeats	NA	4	11	0.9998	0.0002	2	6.7721	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_28632	6912	No terminal repeats	NA	9	11	0.9998	0.0002	1	13.4915	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_86752	6577	No terminal repeats	NA	8	11	0.9998	0.0002	2	12.7789	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_7303	6851	No terminal repeats	NA	10	11	0.9998	0.0002	2	13.6396	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_111942	6643	No terminal repeats	NA	10	11	0.9998	0.0002	1	11.3752	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_78659	3938	No terminal repeats	NA	4	11	0.9998	0.0002	1	6.5574	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_20097	13233	No terminal repeats	NA	8	11	0.9998	0.0002	1	12.8480	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_121540	14141	No terminal repeats	NA	17	11	0.9998	0.0002	6	24.2121	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_100906	3523	No terminal repeats	NA	4	11	0.9998	0.0002	0	6.6773	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_58080	3270	No terminal repeats	NA	6	11	0.9998	0.0002	0	9.8375	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_31891	5988	No terminal repeats	NA	8	11	0.9998	0.0002	2	9.6480	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_102024	6907	No terminal repeats	NA	9	11	0.9998	0.0002	1	13.7463	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_63467	3852	No terminal repeats	NA	7	11	0.9998	0.0002	1	10.9966	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_36715	6401	No terminal repeats	NA	5	11	0.9998	0.0002	2	8.3481	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_28795	5439	No terminal repeats	NA	7	11	0.9998	0.0002	4	11.5648	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_68606	19724	No terminal repeats	NA	15	11	0.9998	0.0002	1	21.8014	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_85219	7550	No terminal repeats	NA	8	11	0.9998	0.0002	0	12.0280	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_46375	6017	No terminal repeats	NA	12	11	0.9998	0.0002	4	16.1888	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_84795	12705	No terminal repeats	NA	17	11	0.9998	0.0002	2	27.9491	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_93307	2521	No terminal repeats	NA	6	11	0.9998	0.0002	4	10.2903	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_90381	7276	No terminal repeats	NA	4	11	0.9998	0.0002	0	6.8731	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_111543	6889	No terminal repeats	NA	8	11	0.9998	0.0002	2	11.9163	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_45322	13542	No terminal repeats	NA	26	11	0.9998	0.0002	2	29.1974	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_3137	7012	No terminal repeats	NA	7	11	0.9998	0.0002	1	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_41895	15951	No terminal repeats	NA	19	11	0.9998	0.0002	4	27.6324	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Herelleviridae
J2_S18_contig_109697	5721	No terminal repeats	NA	6	11	0.9998	0.0002	1	9.8663	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_71885	6740	No terminal repeats	NA	7	11	0.9998	0.0002	2	9.7907	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_98391	5807	No terminal repeats	NA	6	11	0.9998	0.0002	2	8.3605	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
J2_S18_contig_41282	4933	No terminal repeats	NA	5	11	0.9998	0.0002	1	7.8385	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_100221	5933	No terminal repeats	NA	5	11	0.9998	0.0002	0	8.5035	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_50388	6096	No terminal repeats	NA	11	11	0.9998	0.0002	6	15.0113	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_2988	8276	No terminal repeats	NA	14	11	0.9998	0.0002	7	16.5545	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_14466	4418	No terminal repeats	NA	10	11	0.9998	0.0002	3	12.9687	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_116811	8155	No terminal repeats	NA	14	11	0.9998	0.0002	4	18.6592	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_68026	7878	No terminal repeats	NA	11	11	0.9998	0.0002	1	13.7238	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_12672	6322	No terminal repeats	NA	7	11	0.9998	0.0002	4	10.3097	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_43803	6053	No terminal repeats	NA	9	11	0.9998	0.0002	2	11.9481	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_16963	13054	No terminal repeats	NA	16	11	0.9998	0.0002	9	24.3503	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_65913	4963	No terminal repeats	NA	9	11	0.9998	0.0002	3	13.0583	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_76791	5204	No terminal repeats	NA	8	11	0.9998	0.0002	5	11.9949	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_117793	5525	No terminal repeats	NA	7	11	0.9998	0.0002	2	11.8734	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_89202	11784	No terminal repeats	NA	14	11	0.9998	0.0002	2	16.1629	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_33373	7918	No terminal repeats	NA	9	11	0.9998	0.0002	3	10.2836	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_10282	7815	No terminal repeats	NA	7	11	0.9998	0.0002	1	9.9421	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_88743	6503	No terminal repeats	NA	9	11	0.9998	0.0002	2	13.2355	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_15498	7787	No terminal repeats	NA	8	11	0.9998	0.0002	2	11.5573	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_44926	10018	No terminal repeats	NA	17	11	0.9998	0.0002	5	22.8745	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_45199	5441	No terminal repeats	NA	7	11	0.9998	0.0002	0	9.9532	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_71698	3337	No terminal repeats	NA	3	11	0.9998	0.0002	1	5.1548	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_90236	11436	No terminal repeats	NA	13	11	0.9998	0.0002	4	18.9181	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Herelleviridae
J2_S18_contig_9508	11258	No terminal repeats	NA	15	11	0.9998	0.0002	6	19.1268	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_40192	3595	No terminal repeats	NA	5	11	0.9998	0.0002	1	8.2074	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_4168	3883	No terminal repeats	NA	4	11	0.9998	0.0002	3	6.3768	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_44090	3598	No terminal repeats	NA	5	11	0.9998	0.0002	2	8.1462	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes;Autographiviridae
J2_S18_contig_6590	7007	No terminal repeats	NA	9	11	0.9998	0.0002	1	12.3063	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_122693	6817	No terminal repeats	NA	8	11	0.9998	0.0002	2	11.6701	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_82033	8018	No terminal repeats	NA	11	11	0.9998	0.0002	1	13.6606	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_49507	6667	No terminal repeats	NA	11	11	0.9998	0.0002	4	17.8723	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_116869	6850	No terminal repeats	NA	11	11	0.9998	0.0002	3	12.6329	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_115162	4926	No terminal repeats	NA	7	11	0.9998	0.0002	2	9.7892	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_12263	4461	No terminal repeats	NA	5	11	0.9998	0.0002	1	7.4880	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_120904	23278	No terminal repeats	NA	24	11	0.9998	0.0002	1	32.6112	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
J2_S18_contig_25467	6801	No terminal repeats	NA	11	11	0.9998	0.0002	1	13.5556	Viruses;Duplodnaviria;Heunggongvirae;Uroviricota;Caudoviricetes
